aX,aY,aZ,gX,gY,gZ
0.029,-0.772,0.774,-6.653,2.441,-11.658

0.161,0.003,0.816,-284.119,39.551,-18.799
0.054,-0.151,0.535,-211.365,57.129,-30.640
0.048,-0.324,1.018,-190.979,12.512,-42.236
0.068,-0.313,1.103,-168.945,6.287,-36.011
0.052,-0.321,1.214,-217.957,17.883,-28.931
0.068,-0.363,1.130,-289.185,37.170,-25.024
0.052,-0.143,0.930,-307.251,49.622,-11.414
0.078,0.134,0.869,-258.179,43.030,-1.404
0.087,0.282,0.867,-175.537,25.452,-6.470
0.067,0.214,0.941,-97.046,8.667,-22.522
0.037,0.084,1.004,-60.669,-0.732,-35.522
0.034,0.069,0.995,-64.148,-1.831,-37.598
0.050,0.190,0.924,-70.068,-0.122,-35.461
0.033,0.275,0.922,-72.754,-3.723,-38.208
0.035,0.142,0.933,-68.604,-8.972,-50.476
0.038,-0.009,0.988,-68.481,-13.977,-58.960
0.034,0.082,1.033,-56.152,-17.395,-52.307
0.025,0.165,1.075,-36.865,-19.531,-46.997
0.010,0.130,1.052,-32.898,-18.066,-50.720
-0.013,0.009,0.980,-36.987,-15.076,-55.725
-0.036,-0.068,0.922,-42.053,-14.954,-55.603
-0.040,-0.023,0.932,-40.649,-19.348,-50.171
-0.026,0.010,0.997,-42.419,-24.902,-46.509
-0.043,0.003,1.065,-55.725,-27.466,-46.997
-0.075,0.061,1.046,-84.473,-25.879,-46.936
-0.046,0.075,1.073,-161.682,-22.522,-47.913
-0.044,-0.098,1.098,-205.017,-19.531,-50.842
-0.051,-0.104,1.251,-245.911,-18.250,-41.016
-0.044,0.043,1.150,-298.950,-5.798,-23.743
-0.038,0.224,1.005,-346.985,5.920,-12.634
-0.088,0.164,0.928,-400.085,6.714,-10.376
-0.126,0.004,0.836,-436.218,3.174,-9.094
-0.091,0.179,0.856,-454.163,-5.615,3.845
-0.044,0.376,0.982,-473.083,-16.418,16.235
-0.017,0.501,1.108,-516.968,-19.958,19.958
-0.028,0.597,0.983,-569.763,-10.681,22.339
-0.069,0.674,0.810,-574.280,-5.371,22.461
-0.091,0.825,0.626,-568.115,-10.925,24.353
-0.113,0.907,0.511,-588.379,-17.944,24.170
-0.149,0.856,0.606,-606.934,-29.968,22.461
-0.161,0.972,0.598,-578.369,-37.109,26.733
-0.186,1.011,0.375,-548.096,-34.607,29.724
-0.183,0.977,0.549,-510.193,-42.236,30.396
-0.162,1.259,1.166,-472.168,-55.054,38.025
-0.122,1.497,1.289,-434.082,-34.485,37.598
-0.108,1.468,0.960,-407.043,7.263,23.193
-0.114,1.343,0.889,-386.169,24.414,7.080
-0.126,1.279,1.005,-364.624,30.640,-1.892
-0.157,1.196,1.114,-335.571,43.335,-8.911
-0.203,1.067,1.050,-293.823,61.768,-15.625
-0.251,0.875,0.829,-249.023,80.750,-18.738
-0.309,0.771,0.665,-206.055,90.759,-15.076
-0.362,0.713,0.673,-174.988,93.933,-7.019
-0.397,0.719,0.701,-151.794,101.318,0.183
-0.417,0.800,0.668,-133.301,114.563,6.775
-0.395,0.857,0.425,-114.990,133.423,9.521
-0.356,1.029,0.330,-95.764,144.592,11.169
-0.384,1.171,0.327,-86.365,152.405,7.568
-0.396,1.208,0.281,-83.557,169.006,-5.981
-0.379,1.273,0.172,-86.365,191.528,-24.170
-0.368,1.369,0.017,-88.318,212.769,-45.410
-0.407,1.394,-0.077,-93.262,230.286,-74.341
-0.479,1.363,-0.094,-103.333,245.605,-110.718
-0.665,1.215,-0.120,-116.394,262.634,-150.757
-0.899,0.979,-0.085,-120.911,278.564,-191.711
-1.156,0.742,0.071,-119.812,290.161,-224.731
-1.399,0.631,0.122,-104.492,306.763,-245.972
-1.646,0.832,0.144,-77.148,324.402,-256.470
-2.006,1.115,0.293,-46.875,339.661,-271.667
-2.403,1.313,0.012,-9.399,372.192,-302.979
-2.905,1.578,-0.510,31.433,411.560,-342.529
-3.543,1.554,-0.802,58.044,435.974,-393.372
-3.554,1.310,-1.471,67.932,459.839,-458.374
-4.000,0.498,-2.428,130.615,494.446,-518.127
-4.000,-0.086,-2.715,192.810,466.125,-513.062
-3.937,-0.425,-2.642,241.211,407.959,-453.064
-3.327,-0.371,-2.840,265.320,374.084,-389.404
-2.781,-0.109,-3.688,267.700,365.479,-332.153
-1.925,-0.231,-4.000,242.554,327.637,-302.124
-1.554,-0.156,-4.000,198.303,263.672,-275.452
-1.255,-0.632,-3.965,148.132,181.763,-252.197
-0.968,-1.121,-3.462,100.830,112.305,-213.684
-0.725,-1.059,-2.950,54.382,59.814,-145.813
-0.467,-0.347,-2.198,13.123,12.634,-67.505
-0.204,0.779,-1.480,-22.522,-20.691,-4.028
-0.025,1.736,-0.847,-39.246,-39.246,21.179
0.060,2.257,-0.260,-26.123,-53.162,10.620
0.042,2.467,0.233,10.132,-59.753,-19.104
0.024,2.596,0.399,54.199,-54.626,-56.030
-0.104,2.126,0.189,91.064,-37.903,-103.271
-0.281,1.247,-0.038,104.126,-25.757,-148.010
-0.372,0.703,-0.323,105.347,-19.409,-160.156
-0.410,0.271,-0.619,95.764,-15.930,-155.457
-0.392,0.063,-0.659,71.594,-20.203,-140.259
-0.346,0.059,-0.609,44.800,-26.611,-117.859
-0.285,0.181,-0.560,30.334,-32.776,-95.337
-0.223,0.357,-0.465,27.893,-42.480,-75.439
-0.130,0.598,-0.356,32.654,-51.941,-60.913
-0.067,0.833,-0.340,40.161,-57.556,-54.077
-0.060,0.927,-0.310,50.171,-63.477,-56.641
-0.089,0.896,-0.331,59.448,-69.275,-61.462
-0.128,0.724,-0.432,61.951,-69.885,-65.308
-0.169,0.616,-0.504,56.824,-71.594,-62.195
-0.200,0.548,-0.541,43.213,-74.341,-53.589
-0.187,0.615,-0.572,30.151,-78.186,-40.894
-0.109,0.783,-0.498,18.250,-83.374,-26.855
0.004,0.860,-0.440,6.897,-87.585,-18.250
0.080,0.949,-0.556,0.366,-88.013,-13.428
0.130,0.927,-0.547,-2.563,-93.811,-12.451
0.174,0.972,-0.679,-3.296,-98.450,-12.756
0.125,0.964,-0.603,-0.977,-105.896,-14.099
0.111,0.964,-0.659,8.301,-114.014,-16.541
0.095,1.068,-0.929,19.348,-116.150,-16.479
0.095,0.942,-1.085,18.188,-125.549,-24.231
-0.006,0.724,-0.947,6.470,-141.357,-29.968
-0.084,0.592,-0.648,-2.686,-159.119,-23.987
-0.077,0.647,-0.624,-3.784,-165.588,-8.972
-0.007,0.772,-0.619,-5.005,-171.936,4.333
0.005,0.847,-0.471,-11.780,-182.983,12.695

-0.187,1.723,-0.742,-283.752,-78.491,10.437
-0.198,1.594,-0.657,-294.373,-78.247,-20.020
-0.245,1.427,-0.635,-296.936,-72.144,-40.955
-0.282,1.122,-0.565,-289.062,-69.885,-56.824
-0.297,0.922,-0.532,-269.531,-66.528,-66.528
-0.309,0.741,-0.485,-241.882,-61.218,-70.618
-0.283,0.627,-0.603,-211.914,-52.917,-72.144
-0.325,0.516,-0.816,-177.185,-44.250,-74.036
-0.381,0.336,-0.797,-136.292,-48.401,-78.918
-0.395,0.410,-0.722,-96.191,-52.185,-74.036
-0.377,0.684,-0.918,-61.096,-46.753,-67.383
-0.348,0.927,-1.214,-38.818,-44.434,-73.181
-0.325,1.183,-1.356,-34.485,-51.575,-89.905
-0.277,1.542,-1.473,-42.908,-63.232,-113.464
-0.279,1.677,-1.641,-60.303,-73.059,-155.090
-0.412,1.554,-1.517,-88.745,-92.834,-212.158
-0.629,1.265,-1.127,-127.686,-119.080,-271.545
-0.840,0.939,-0.821,-163.147,-139.160,-330.383
-1.135,0.927,-0.315,-188.538,-160.095,-377.869
-1.515,0.688,0.162,-194.702,-179.810,-431.702
-1.901,0.217,0.414,-182.617,-187.134,-494.507
-2.195,0.049,0.600,-161.865,-191.284,-541.199
-2.602,0.140,0.880,-137.817,-192.688,-579.895
-2.938,-0.302,1.018,-111.694,-183.472,-637.939
-3.223,-0.342,0.940,-81.970,-152.039,-686.523
-3.711,-0.248,0.869,-33.997,-125.122,-725.403
-4.000,-0.921,0.844,28.564,-98.938,-787.842
-4.000,-2.061,0.614,98.877,-59.082,-828.979
-4.000,-3.409,0.521,133.850,-5.737,-812.256
-3.842,-4.000,-0.255,140.015,56.396,-744.507
-3.177,-4.000,-1.875,164.734,104.248,-664.978
-2.510,-3.827,-2.315,190.002,70.007,-452.026
-1.836,-3.397,-2.520,207.397,15.747,-308.167
-1.268,-2.473,-2.482,187.622,-15.991,-214.417
-0.949,-1.467,-2.249,111.938,-39.734,-145.935
-0.866,-1.027,-2.075,14.709,-46.448,-121.704
-0.718,-0.892,-1.826,-70.251,-49.011,-116.089
-0.711,-0.825,-1.687,-113.586,-47.302,-102.661
-0.737,-1.196,-1.349,-117.065,-61.218,-91.125
-0.726,-1.442,-1.270,-92.346,-68.604,-62.805
-0.685,-1.401,-1.229,-53.467,-82.642,-21.729
-0.630,-1.151,-1.189,-19.897,-98.389,18.311
-0.583,-0.796,-1.120,-4.211,-112.854,50.354
-0.571,-0.553,-0.870,0.183,-125.488,71.106
-0.534,-0.392,-0.627,0.854,-131.409,83.862
-0.488,-0.143,-0.503,0.793,-126.892,93.079
-0.422,0.093,-0.441,-0.916,-117.004,97.046
-0.361,0.246,-0.476,-6.531,-101.868,91.614
-0.291,0.431,-0.549,-16.357,-84.656,82.886
-0.223,0.508,-0.612,-26.001,-69.397,68.726
-0.209,0.463,-0.636,-32.654,-56.702,50.720
-0.210,0.197,-0.611,-36.804,-46.204,33.386
-0.205,-0.103,-0.698,-41.138,-33.325,23.926
-0.207,-0.206,-0.736,-42.480,-25.513,25.635
-0.212,-0.329,-0.830,-38.452,-22.278,28.748
-0.240,-0.399,-0.818,-35.095,-22.522,32.593
-0.272,-0.430,-0.794,-34.302,-22.888,37.537
-0.306,-0.445,-0.786,-32.410,-21.240,41.870
-0.317,-0.412,-0.796,-28.992,-19.287,46.082
-0.317,-0.410,-0.823,-24.292,-17.822,47.791
-0.324,-0.420,-0.839,-18.494,-16.907,47.791
-0.337,-0.419,-0.878,-12.146,-14.404,48.645
-0.348,-0.457,-0.878,-6.409,-12.512,49.255
-0.359,-0.481,-0.907,0.977,-10.864,51.331
-0.404,-0.532,-0.887,9.888,-10.498,54.810
-0.414,-0.628,-0.949,16.357,-8.789,59.875
-0.426,-0.656,-0.943,23.499,-10.559,66.895
-0.412,-0.770,-0.801,34.668,-18.250,72.327
-0.379,-0.828,-0.730,48.767,-21.851,78.857
-0.331,-0.854,-0.716,65.369,-23.132,87.891
-0.317,-0.847,-0.715,80.933,-23.682,98.816
-0.309,-0.736,-0.733,89.417,-21.545,113.831
-0.321,-0.551,-0.826,89.600,-15.198,127.502
-0.378,-0.404,-0.830,82.947,-10.803,134.094
-0.423,-0.393,-0.701,74.707,-8.911,133.850
-0.419,-0.438,-0.732,66.833,0.183,131.836
-0.374,-0.438,-0.788,60.852,11.047,134.338
-0.268,-0.487,-0.803,58.167,13.306,136.047
-0.226,-0.543,-0.836,58.899,14.954,139.221
-0.188,-0.426,-0.901,59.204,18.616,150.635
-0.145,-0.235,-0.973,61.218,20.142,161.072
-0.062,-0.078,-0.910,69.031,13.794,160.583
-0.075,0.016,-0.945,72.876,10.254,155.701
-0.122,0.047,-0.985,68.481,9.155,147.522
-0.114,0.006,-0.887,60.364,4.333,141.541
-0.167,-0.056,-0.796,56.641,2.991,135.559
-0.205,-0.264,-0.713,52.429,6.592,128.906
-0.153,-0.423,-0.599,45.349,13.000,132.019
-0.088,-0.478,-0.612,44.250,24.414,143.311
-0.050,-0.367,-0.791,56.274,35.767,155.945
-0.045,-0.103,-0.844,66.223,39.551,167.969
-0.041,0.135,-0.939,77.576,39.429,169.128
-0.082,0.255,-0.903,89.355,32.288,158.630
-0.127,0.183,-0.781,92.651,25.330,144.287
-0.190,0.054,-0.774,87.219,30.945,133.057
-0.215,0.002,-0.830,79.163,41.809,128.540
-0.212,-0.191,-0.841,76.721,45.288,122.559
-0.246,-0.400,-0.871,81.177,44.495,119.446
-0.291,-0.383,-0.971,90.637,42.847,128.113
-0.323,-0.216,-1.044,92.285,39.612,143.494
-0.310,-0.049,-1.016,96.558,31.433,155.212
-0.257,0.074,-0.941,100.464,23.376,158.081
-0.268,0.149,-1.033,101.990,22.095,158.447
-0.291,0.255,-1.107,96.863,21.912,160.034
-0.260,0.356,-1.070,86.426,14.099,159.668
-0.255,0.271,-1.049,84.473,6.775,150.269
-0.275,0.138,-1.066,92.163,0.854,140.991
-0.270,0.138,-1.107,102.905,-7.996,141.846
-0.294,0.298,-1.100,113.831,-18.799,149.719
-0.287,0.550,-1.122,117.065,-26.001,159.058
-0.270,0.704,-1.072,111.450,-33.325,160.217
-0.236,0.818,-1.046,100.159,-36.438,155.212
-0.208,0.796,-0.995,84.106,-37.659,146.729
-0.193,0.758,-0.976,66.101,-37.720,136.963
-0.174,0.622,-0.905,50.598,-39.368,126.831
-0.155,0.494,-0.841,38.391,-39.917,120.728
-0.144,0.380,-0.796,30.823,-38.208,117.371
-0.157,0.349,-0.907,38.086,-32.349,116.333
-0.174,0.517,-0.978,48.401,-28.442,124.268

-0.238,0.259,-0.598,-61.584,-42.480,107.544
-0.114,1.042,0.197,-35.339,-52.368,131.836
-0.265,0.435,-0.797,6.042,23.621,89.294
-0.312,0.288,-1.121,15.015,52.429,72.021
-0.248,0.419,-0.849,12.512,34.485,85.571
-0.306,0.506,-0.883,17.578,36.560,85.571
-0.356,0.553,-1.016,25.269,42.297,84.045
-0.376,0.607,-1.083,25.024,41.138,82.275
-0.406,0.554,-1.193,17.334,40.405,78.674
-0.430,0.543,-1.192,7.690,38.513,75.928
-0.454,0.483,-1.270,-1.892,35.522,74.402
-0.416,0.619,-1.037,-6.958,28.625,75.500
-0.487,0.396,-1.115,-5.432,26.428,69.824
-0.507,0.410,-1.302,-10.010,30.945,67.627
