gX,gY,gZ 
-0.37,2.01,2.01
-5.07,3.85,3.85
-18.86,3.54,27.16
-10.68,-4.70,23.07
-80.02,9.64,51.70
113.46,-15.01,-58.72
127.26,-9.77,-419.80
189.58,448.24,273.74
516.72,287.84,528.69
153.44,363.04,-774.6
-100.89,312.44,-534.
-114.32,583.98,29.05
478.70,558.29,357.48
991.03,336.91,-0.31
-2.32,358.64,-592.59
162.41,333.74,-371.3
205.44,589.29,-214.9
-312.32,-336.12,423.
78.12,-80.93,359.68
52.37,-10.74,390.01
178.89,-3.23,214.97
407.84,541.50,-27.95
-94.06,122.38,-407.2
-353.70,357.67,-213.
-96.92,309.08,-142.7
143.13,410.46,354.98
219.79,33.14,397.40
547.67,274.17,129.39
309.14,253.78,-109.5
41.02,200.50,-497.19
-35.03,232.73,-148.2
-71.66,445.01,97.41
-92.22,392.21,192.81
99.37,-25.70,312.13
648.80,177.80,-217.3
1.83,-16.78,-10.31
-187.01,-43.40,20.39
-145.32,17.40,14.95
-10.74,-8.06,3.05
9.58,-3.17,-0.49
412.90,308.47,105.96
-206.30,-201.17,-33.
404.54,304.32,107.79
20.14,154.11,84.11
-710.21,-579.41,-240
454.10,536.62,135.74
-158.87,-333.74,-118
-731.08,-516.42,-104
227.17,96.92,-242.25
2.26,53.71,-41.08
