Column1;aX;aY;aZ 
;-501;-578;470
;-501;-578;470
;-501;-578;470
;-525;-603;458
;-525;-603;458
;-631;-618;421
;-681;-491;414
;-681;-491;414
;-681;-491;414
;-687;-465;414
;-687;-465;414
;-687;-465;414
;-710;-440;340
;-710;-440;340
;-710;-440;340
;-559;-521;266
;-600;-507;278
;-600;-507;278
;-664;-342;277
;-664;-342;277
;-664;-342;277
;-869;-465;353
;-869;-465;353
;-869;-465;353
;-739;-386;259
;-739;-386;259
;-739;-386;259
;-941;-330;147
;-941;-330;147
;-941;-330;147
;-947;-440;250
;-947;-440;250
;-947;-440;250
;-979;-223;258
;-979;-223;258
;-979;-223;258
;-1079;-14;84
;-1079;-14;84
;-1030;-129;123
;-972;-96;83
;-972;-96;83
;-972;-96;83
;-878;-256;94
;-878;-256;94
;-878;-256;94
;-862;-361;44
;-862;-361;44
;-862;-361;44
;-825;-509;79
;-825;-509;79
;-825;-509;79
;-788;-363;74
;-788;-363;74
;-788;-363;74
;-813;-314;124
;-813;-314;124
;-813;-314;124
;-848;-300;170
;-848;-300;170
;-848;-300;170
;-887;-307;209
;-839;-300;209
;-839;-300;209
;-809;-368;193
;-809;-368;193
;-809;-368;193
;-770;-445;181
;-770;-445;181
;-770;-445;181
;-768;-379;78
;-768;-379;78
;-768;-379;78
;-728;-477;103
;-728;-477;103
;-728;-477;103
;-813;-360;145
;-813;-360;145
;-767;-402;170
;-767;-402;170
;-767;-402;170
;-767;-398;175
;-767;-398;175
;-767;-398;175
;-762;-402;177
;-762;-402;177
;-803;-383;192
;-848;-332;161
;-848;-332;161
;-848;-332;161
;-909;-350;157
;-909;-350;157
;-909;-350;157
;-835;-355;175
;-835;-355;175
;-835;-355;175
;-765;-474;220
;-765;-474;220
;-744;-477;222
;-737;-435;176
;-737;-435;176
;-737;-435;176
;-843;-309;52
;-843;-309;52
;-843;-309;52
;-829;-335;117
;-829;-335;117
;-829;-335;117
;-902;-347;141
;-902;-347;141
;-866;-330;172
;-922;-423;192
;-922;-423;192
;-922;-423;192
;-798;-250;74
;-798;-250;74
;-798;-250;74
;-834;-327;97
;-834;-327;97
;-834;-327;97
;-899;-396;89
;-899;-396;89
;-986;-378;73
;-963;-316;66
;-963;-316;66
;-963;-316;66
;-1032;-154;49
;-1032;-154;49
;-1032;-154;49
;-973;-131;125
;-973;-131;125
;-973;-131;125
;-801;66;103
;-801;66;103
;-801;66;103
;-698;-174;133
;-698;-174;133
;-698;-174;133
;-586;93;56
;-586;93;56
;-586;93;56
;-673;-73;-38
;-673;-73;-38
;-688;-265;-84
;-808;-384;-155
;-743;-362;-127
;-743;-362;-127
;-578;-118;-95
;-578;-118;-95
;-578;-118;-95
;-1164;-116;-238
;-1164;-116;-238
;-1164;-116;-238
;-873;57;-248
;-873;57;-248
;-903;284;-686
;-1161;524;-802
;-1161;524;-802
;-801;723;-668
;-728;34;-450
;-728;34;-450
;-728;34;-450
;-774;-210;-540
;-774;-210;-540
;-774;-210;-540
;-895;60;-709
;-895;60;-709
;-822;24;-675
;-859;-86;-717
;-859;-86;-717
;-859;-86;-717
;-833;-202;-510
;-833;-202;-510
;-833;-202;-510
;-831;-41;-395
;-831;-41;-395
;-831;-41;-395
;-760;-82;-362
;-760;-82;-362
;-760;-82;-362
;-862;8;-454
;-844;113;-422
;-844;113;-422
;-811;77;-342
;-811;77;-342
;-811;77;-342
;-869;53;-308
;-869;53;-308
;-869;53;-308
;-885;79;-282
;-885;79;-282
;-769;40;-246
;-844;-148;-305
;-844;-148;-305
;-844;-148;-305
;-813;-108;-368
;-813;-108;-368
;-813;-108;-368
;-808;-207;-309
;-808;-207;-309
;-808;-207;-309
;-766;-295;-217
;-766;-295;-217
;-766;-295;-217
;-782;-191;-223
;-782;-191;-223
;-782;-191;-223
;-723;-296;-239
;-723;-296;-239
;-723;-296;-239
;-797;-245;-342
;-797;-245;-342
;-797;-245;-342
;-829;-209;-320
;-829;-209;-320
;-829;-209;-320
;-869;-115;-233
;-869;-115;-233
;-869;-115;-233
;-914;-204;-276
;-914;-204;-276
;-914;-204;-276
