"Roll"	"Pitch"	"Yaw"	"RollF"	"PitchF"	"YawF"
"-74.5765"	"0.173516"	"-59.1006"	"0"	"0"	"-59.1006"
"-66.4116"	"0.475658"	"-58.3817"	"0"	"0"	"-58.3817"
"-56.5597"	"1.0203"	"-57.5586"	"0"	"0"	"-57.5586"
"-46.7579"	"1.79671"	"-57.1322"	"0"	"0"	"-57.1322"
"-35.9762"	"2.46366"	"-56.7355"	"0"	"0"	"-56.7355"
"-24.2998"	"3.51887"	"-56.6512"	"0"	"0"	"-56.6512"
"-13.3493"	"3.16613"	"-56.9103"	"0"	"0"	"-56.9103"
"-7.11907"	"4.1948"	"-57.3086"	"0"	"0"	"-57.3086"
"-3.4154"	"2.62203"	"-57.418"	"0"	"0"	"-57.418"
"-1.16252"	"1.33692"	"-57.7167"	"0"	"0"	"-57.7167"
"-0.42407"	"3.17678"	"-57.7752"	"0"	"0"	"-57.7752"
"0.0951007"	"2.96706"	"-57.8466"	"0"	"0"	"-57.8466"
"0.271135"	"3.00498"	"-57.9036"	"0"	"0"	"-57.9036"
"0.0210657"	"2.98566"	"-57.8064"	"0"	"0"	"-57.8064"
"0.0421724"	"3.3159"	"-57.858"	"0"	"0"	"-57.858"
"0.322001"	"2.78231"	"-57.9173"	"0"	"0"	"-57.9173"
"0.0808715"	"3.29997"	"-57.9781"	"0"	"0"	"-57.9781"
"0.108995"	"3.22585"	"-58.042"	"0"	"0"	"-58.042"
"0.245954"	"3.14979"	"-58.1096"	"0"	"0"	"-58.1096"
"0.182793"	"3.11956"	"-58.1712"	"0"	"0"	"-58.1712"
"0.197277"	"3.12627"	"-58.2335"	"0"	"0"	"-58.2335"
"0.137655"	"3.23484"	"-58.2996"	"0"	"0"	"-58.2996"
"0.105472"	"3.1728"	"-58.3589"	"0"	"0"	"-58.3589"
"0.179403"	"3.28382"	"-58.4242"	"0"	"0"	"-58.4242"
"0.133675"	"3.08304"	"-58.4858"	"0"	"0"	"-58.4858"
"0.186552"	"3.1025"	"-58.5451"	"0"	"0"	"-58.5451"
"0.193667"	"3.2095"	"-58.6074"	"0"	"0"	"-58.6074"
"0.204896"	"3.22351"	"-58.6735"	"0"	"0"	"-58.6735"
"0.303224"	"3.36559"	"-58.7427"	"0"	"0"	"-58.7427"
"0.182713"	"3.25544"	"-58.805"	"0"	"0"	"-58.805"
"0.252672"	"3.14593"	"-58.865"	"0"	"0"	"-58.865"
"0.312517"	"3.09505"	"-58.9243"	"0"	"0"	"-58.9243"
"0.105589"	"3.10232"	"-58.9836"	"0"	"0"	"-58.9836"
"0.246059"	"3.15465"	"-59.0474"	"0"	"0"	"-59.0474"
"0.200602"	"3.2536"	"-59.1067"	"0"	"0"	"-59.1067"
"0.162204"	"3.28114"	"-59.1599"	"0"	"0"	"-59.1599"
"0.16221"	"3.24593"	"-59.2238"	"0"	"0"	"-59.2238"
"0.218355"	"3.15011"	"-59.2876"	"0"	"0"	"-59.2876"
"0.196756"	"3.12505"	"-59.3492"	"0"	"0"	"-59.3492"
"0.0598015"	"3.28032"	"-59.4107"	"0"	"0"	"-59.4107"
"0.213758"	"3.06415"	"-59.47"	"0"	"0"	"-59.47"
"0.137194"	"3.1324"	"-59.5354"	"0"	"0"	"-59.5354"
"0.24284"	"3.22548"	"-59.5924"	"0"	"0"	"-59.5924"
"0.39784"	"2.88818"	"-59.6562"	"0"	"0"	"-59.6562"
"0.193711"	"3.16438"	"-59.7162"	"0"	"0"	"-59.7162"
"0.130251"	"3.16283"	"-59.7808"	"0"	"0"	"-59.7808"
"0.161817"	"3.20987"	"-59.8462"	"0"	"0"	"-59.8462"
"0.186118"	"3.09527"	"-59.9017"	"0"	"0"	"-59.9017"
"0.263241"	"3.23431"	"-59.9663"	"0"	"0"	"-59.9663"
"0.165594"	"3.30665"	"-60.0195"	"0"	"0"	"-60.0195"
"0.207918"	"3.27207"	"-60.0841"	"0"	"0"	"-60.0841"
"0.056307"	"3.10897"	"-60.1517"	"0"	"0"	"-60.1517"
"0.147517"	"3.02902"	"-60.2087"	"0"	"0"	"-60.2087"
"0.243064"	"3.22494"	"-60.2657"	"0"	"0"	"-60.2657"
"-0.0666891"	"3.2836"	"-60.3318"	"0"	"0"	"-60.3318"
"0.119825"	"3.33582"	"-60.3881"	"0"	"0"	"-60.3881"
"0.305178"	"3.21481"	"-60.4496"	"0"	"0"	"-60.4496"
"0.0951542"	"3.15578"	"-60.5104"	"0"	"0"	"-60.5104"
"0.207533"	"3.08986"	"-60.572"	"0"	"0"	"-60.572"
"0.158299"	"3.14645"	"-60.6328"	"0"	"0"	"-60.6328"
"-0.00352621"	"3.27411"	"-60.6959"	"0"	"0"	"-60.6959"
"0.172784"	"3.27409"	"-60.7574"	"0"	"0"	"-60.7574"
"0.229138"	"3.18489"	"-60.8167"	"0"	"0"	"-60.8167"
"0.2575"	"3.11269"	"-60.876"	"0"	"0"	"-60.876"
"0.179536"	"3.09233"	"-60.9406"	"0"	"0"	"-60.9406"
"0.0562805"	"3.27661"	"-61.0067"	"0"	"0"	"-61.0067"
"0.215183"	"3.25064"	"-61.063"	"0"	"0"	"-61.063"
"0.278495"	"3.03665"	"-61.1184"	"0"	"0"	"-61.1184"
"0.306103"	"3.13294"	"-61.1853"	"0"	"0"	"-61.1853"
"0.0702971"	"3.2389"	"-61.2393"	"0"	"0"	"-61.2393"
"0.133585"	"3.20771"	"-61.3016"	"0"	"0"	"-61.3016"
"0.161566"	"3.15917"	"-61.3632"	"0"	"0"	"-61.3632"
"0.161833"	"3.16791"	"-61.4262"	"0"	"0"	"-61.4262"
"0.210923"	"3.26756"	"-61.4893"	"0"	"0"	"-61.4893"
"0.179696"	"3.19389"	"-61.5509"	"0"	"0"	"-61.5509"
"0.151138"	"3.23889"	"-61.6086"	"0"	"0"	"-61.6086"
"0.283911"	"3.13157"	"-61.6732"	"0"	"0"	"-61.6732"
"0.137156"	"3.09984"	"-61.7325"	"0"	"0"	"-61.7325"
"0.0950096"	"3.26376"	"-61.7964"	"0"	"0"	"-61.7964"
"0.211153"	"3.22178"	"-61.8541"	"0"	"0"	"-61.8541"
"0.215326"	"3.2033"	"-61.9172"	"0"	"0"	"-61.9172"
"0.228658"	"3.31562"	"-61.9841"	"0"	"0"	"-61.9841"
"0.211496"	"3.20229"	"-62.0487"	"0"	"0"	"-62.0487"
"0.165704"	"3.19585"	"-62.1125"	"0"	"0"	"-62.1125"
"0.172656"	"3.15167"	"-62.1726"	"0"	"0"	"-62.1726"
"0.211025"	"3.14937"	"-62.244"	"0"	"0"	"-62.244"
"0.317302"	"3.0687"	"-62.3025"	"0"	"0"	"-62.3025"
"0.112661"	"3.24779"	"-62.3565"	"0"	"0"	"-62.3565"
"0.148033"	"3.17376"	"-62.4127"	"0"	"0"	"-62.4127"
"0.031691"	"3.33648"	"-62.4826"	"0"	"0"	"-62.4826"
"0.0281168"	"3.05915"	"-62.5396"	"0"	"0"	"-62.5396"
"0.25341"	"3.17628"	"-62.6035"	"0"	"0"	"-62.6035"
"0.314012"	"3.12048"	"-62.6643"	"0"	"0"	"-62.6643"
"0.165204"	"3.13341"	"-62.7258"	"0"	"0"	"-62.7258"
"0.239426"	"3.27628"	"-62.7897"	"0"	"0"	"-62.7897"
"0.239229"	"3.36168"	"-62.8474"	"0"	"0"	"-62.8474"
"0.0983821"	"3.14981"	"-62.9029"	"0"	"0"	"-62.9029"
"0.144444"	"3.1935"	"-62.963"	"0"	"0"	"-62.963"
"0.179394"	"3.27308"	"-63.0222"	"0"	"0"	"-63.0222"
"0.246477"	"3.11417"	"-63.083"	"0"	"0"	"-63.083"
"0.193623"	"3.2546"	"-63.1476"	"0"	"0"	"-63.1476"
"0.217782"	"3.19462"	"-63.2054"	"0"	"0"	"-63.2054"
"0.155117"	"3.19918"	"-63.2692"	"0"	"0"	"-63.2692"
"0.102187"	"3.19058"	"-63.3361"	"0"	"0"	"-63.3361"
"0.161787"	"3.14587"	"-63.4007"	"0"	"0"	"-63.4007"
"0.257014"	"3.28311"	"-63.463"	"0"	"0"	"-63.463"
"0.27799"	"3.0699"	"-63.5276"	"0"	"0"	"-63.5276"
"0.17582"	"3.16285"	"-63.5938"	"0"	"0"	"-63.5938"
"0.140592"	"3.19308"	"-63.647"	"0"	"0"	"-63.647"
"0.151217"	"3.14549"	"-63.7024"	"0"	"0"	"-63.7024"
"0.0529605"	"3.10854"	"-63.764"	"0"	"0"	"-63.764"
"0.345143"	"3.07252"	"-63.8294"	"0"	"0"	"-63.8294"
"0.229023"	"3.13036"	"-63.897"	"0"	"0"	"-63.897"
"0.232376"	"3.31495"	"-63.9593"	"0"	"0"	"-63.9593"
"0.204465"	"3.10726"	"-64.0315"	"0"	"0"	"-64.0315"
"0.102134"	"3.09016"	"-64.09"	"0"	"0"	"-64.09"
"0.00704554"	"3.20387"	"-64.1562"	"0"	"0"	"-64.1562"
