"Roll"	"Pitch"	"Yaw"	"RollF"	"PitchF"	"YawF"
"0.186361"	"3.45151"	"-68.552"	"0"	"0"	"-68.552"
"0.0351108"	"3.50625"	"-68.6105"	"0"	"0"	"-68.6105"
"-0.0493893"	"3.55125"	"-68.6751"	"0"	"0"	"-68.6751"
"0.264295"	"2.76383"	"-68.7344"	"0"	"0"	"-68.7344"
"0.0667175"	"3.22521"	"-68.7944"	"0"	"0"	"-68.7944"
"0.0705182"	"3.41863"	"-68.8575"	"0"	"0"	"-68.8575"
"0.0738546"	"3.39578"	"-68.9168"	"0"	"0"	"-68.9168"
"0.0947911"	"3.47077"	"-68.9708"	"0"	"0"	"-68.9708"
"0.0790195"	"4.60871"	"-69.0384"	"0"	"0"	"-69.0384"
"0.225804"	"3.20172"	"-69.1038"	"0"	"0"	"-69.1038"
"0.271229"	"3.22473"	"-69.1661"	"0"	"0"	"-69.1661"
"0.0140322"	"3.08506"	"-69.2284"	"0"	"0"	"-69.2284"
"0.0634178"	"3.20074"	"-69.2846"	"0"	"0"	"-69.2846"
"0.197499"	"3.23576"	"-69.3439"	"0"	"0"	"-69.3439"
"0.207945"	"3.32546"	"-69.4093"	"0"	"0"	"-69.4093"
"0.285067"	"3.18311"	"-69.4686"	"0"	"0"	"-69.4686"
"0.23909"	"3.14138"	"-69.5377"	"0"	"0"	"-69.5377"
"0.292155"	"3.1343"	"-69.6"	"0"	"0"	"-69.6"
"0.232635"	"3.24452"	"-69.6578"	"0"	"0"	"-69.6578"
"0.204228"	"3.22356"	"-69.7156"	"0"	"0"	"-69.7156"
"0.182788"	"3.21101"	"-69.7741"	"0"	"0"	"-69.7741"
"0.19724"	"3.0622"	"-69.8394"	"0"	"0"	"-69.8394"
"0.179447"	"3.09433"	"-69.9018"	"0"	"0"	"-69.9018"
"0.126728"	"3.18392"	"-69.9626"	"0"	"0"	"-69.9626"
"0.182597"	"3.14787"	"-70.0226"	"0"	"0"	"-70.0226"
"0.190175"	"3.24174"	"-70.0819"	"0"	"0"	"-70.0819"
"0.102322"	"3.28316"	"-70.1404"	"0"	"0"	"-70.1404"
"0.204232"	"3.20247"	"-70.205"	"0"	"0"	"-70.205"
"0.197413"	"3.11078"	"-70.2696"	"0"	"0"	"-70.2696"
"0.207676"	"3.26474"	"-70.3274"	"0"	"0"	"-70.3274"
