aX,aY,aZ,gX,gY,gZ
-8.648,-1.322,4.314,0.291,0.291,0.291
-8.792,-1.274,4.334,0.117,0.117,0.117

-12.986,-14.552,-3.208,-7.907,-7.907,-7.907
-14.289,-17.847,-2.873,-16.844,-16.844,-16.844
-10.137,-17.071,-1.623,-35.010,-35.010,-35.010
-5.521,-12.115,1.623,-50.184,-50.184,-50.184
-4.827,-6.680,4.233,-53.389,-53.389,-53.389
-5.962,-1.777,5.837,-44.394,-44.394,-44.394
-6.239,1.686,6.373,-29.531,-29.531,-29.531
-7.331,3.831,6.302,-16.650,-16.650,-16.650
-7.331,3.831,6.302,-16.650,-16.650,-16.650
-8.413,6.029,4.760,0.855,0.855,0.855
-8.715,4.870,4.243,4.410,4.410,4.410
-9.792,5.741,4.697,4.818,4.818,4.818
-9.998,6.134,5.071,7.305,7.305,7.305
-10.238,5.052,4.769,14.727,14.727,14.727
-10.343,3.184,4.075,23.877,23.877,23.877
-10.405,3.280,3.687,27.336,27.336,27.336
-10.731,2.117,3.486,25.840,25.840,25.840
-11.023,1.547,3.539,23.975,23.975,23.975
-10.606,1.192,4.018,25.335,25.335,25.335
-9.850,0.579,4.214,28.618,28.618,28.618
-9.036,0.354,4.128,32.873,32.873,32.873
-9.026,1.020,3.500,34.777,34.777,34.777
-9.036,0.972,3.103,34.194,34.194,34.194
-9.294,1.053,2.916,32.251,32.251,32.251
-9.644,0.493,2.528,31.843,31.843,31.843
-9.912,0.900,2.069,28.773,28.773,28.773
-8.863,1.178,2.500,25.121,25.121,25.121
-8.466,0.934,2.567,23.489,23.489,23.489
-8.533,1.044,2.883,23.703,23.703,23.703
-8.796,1.173,3.103,22.226,22.226,22.226
-9.012,0.934,3.491,21.740,21.740,21.740
-8.701,0.833,4.123,24.655,24.655,24.655
-8.835,0.704,3.941,29.337,29.337,29.337
-8.777,0.752,3.630,30.056,30.056,30.056
-8.557,0.886,3.888,26.695,26.695,26.695
-8.093,0.929,5.047,24.907,24.907,24.907
-8.552,0.929,5.057,24.655,24.655,24.655
-8.624,1.020,5.066,25.548,25.548,25.548
-8.021,1.384,5.057,25.568,25.568,25.568
-7.580,1.240,4.932,26.034,26.034,26.034
-7.542,0.972,4.463,26.228,26.228,26.228
-8.337,1.097,3.922,24.907,24.907,24.907
-9.055,1.030,3.611,21.604,21.604,21.604
-9.390,1.025,3.845,18.127,18.127,18.127
-9.208,1.293,4.008,15.834,15.834,15.834
-9.376,1.063,3.836,15.504,15.504,15.504
-9.376,1.063,3.836,15.504,15.504,15.504
-10.597,0.589,4.041,12.492,12.492,12.492
-10.611,0.330,4.104,10.297,10.297,10.297
-10.152,0.508,4.238,7.771,7.771,7.771
-9.299,0.809,4.453,5.518,5.518,5.518
-8.739,1.034,4.516,4.779,4.779,4.779
-8.303,1.097,4.472,4.391,4.391,4.391
-8.303,1.097,4.472,4.391,4.391,4.391
-8.552,0.661,4.535,2.215,2.215,2.215
-8.753,0.441,4.176,1.282,1.282,1.282
-8.753,0.441,4.176,1.282,1.282,1.282
-8.624,0.311,4.046,-0.699,-0.699,-0.699
-8.969,-0.029,3.860,-4.099,-4.099,-4.099
-9.505,-0.345,3.840,-4.274,-4.274,-4.274
-9.505,-0.345,3.840,-4.274,-4.274,-4.274
-9.797,-0.603,3.912,-3.225,-3.225,-3.225
-9.797,-0.603,3.912,-3.225,-3.225,-3.225
-8.907,-0.972,3.567,-1.360,-1.360,-1.360
-9.012,-0.747,3.429,-1.457,-1.457,-1.457
-9.089,-0.838,3.687,-1.671,-1.671,-1.671
-9.012,-0.680,3.903,-1.749,-1.749,-1.749
-8.705,-0.541,3.984,-0.330,-0.330,-0.330
-8.461,-0.565,3.692,1.127,1.127,1.127
-8.595,-0.512,3.510,0.971,0.971,0.971
-8.562,-0.474,3.615,0.117,0.117,0.117
-8.969,-0.407,3.577,-0.330,-0.330,-0.330
-9.194,-0.455,3.520,-1.069,-1.069,-1.069
-9.242,-0.536,3.654,-1.438,-1.438,-1.438
-9.424,-0.599,3.759,-1.904,-1.904,-1.904
-9.141,-0.613,3.816,-2.137,-2.137,-2.137
-9.361,-0.670,3.840,-1.438,-1.438,-1.438
-9.361,-0.670,3.840,-1.438,-1.438,-1.438
-9.539,-0.637,3.797,-0.097,-0.097,-0.097
-9.539,-0.637,3.797,-0.097,-0.097,-0.097
-8.739,-0.589,3.639,0.622,0.622,0.622
-8.705,-0.575,3.606,0.544,0.544,0.544
-8.705,-0.575,3.606,0.544,0.544,0.544
-9.160,-0.627,3.711,-0.233,-0.233,-0.233
-9.103,-0.450,3.759,-1.049,-1.049,-1.049
-8.571,-0.364,3.845,-1.263,-1.263,-1.263
-8.571,-0.364,3.845,-1.263,-1.263,-1.263
-8.830,-0.527,3.716,-0.544,-0.544,-0.544
-9.160,-0.709,3.534,-1.302,-1.302,-1.302
-9.242,-0.632,3.888,-1.710,-1.710,-1.710
-9.074,-0.661,4.051,-0.835,-0.835,-0.835
-9.074,-0.661,4.051,-0.835,-0.835,-0.835
-9.089,-0.737,3.725,-0.272,-0.272,-0.272
-8.969,-0.833,3.625,-0.952,-0.952,-0.952
-8.969,-0.833,3.625,-0.952,-0.952,-0.952
-9.266,-0.814,3.883,-0.505,-0.505,-0.505
-9.266,-0.814,3.883,-0.505,-0.505,-0.505
-9.165,-0.800,3.658,0.369,0.369,0.369
-8.820,-0.781,3.620,0.194,0.194,0.194
-8.820,-0.781,3.620,0.194,0.194,0.194
-8.988,-0.737,3.663,-0.117,-0.117,-0.117
-8.988,-0.737,3.663,-0.117,-0.117,-0.117
-9.112,-0.661,3.682,-0.233,-0.233,-0.233
-9.117,-0.752,3.572,0.000,0.000,0.000
-9.069,-0.713,3.721,0.058,0.058,0.058
-8.931,-0.733,3.692,0.350,0.350,0.350
-8.907,-0.848,3.654,0.194,0.194,0.194
-9.141,-0.848,3.687,-0.291,-0.291,-0.291
-9.299,-0.824,3.836,-0.330,-0.330,-0.330
-8.969,-0.733,3.912,0.175,0.175,0.175
-8.677,-0.804,3.773,0.486,0.486,0.486
-8.763,-0.680,3.773,0.350,0.350,0.350
-9.089,-0.704,3.816,0.194,0.194,0.194
-8.959,-0.646,3.797,0.136,0.136,0.136
-8.959,-0.646,3.797,0.136,0.136,0.136
-9.021,-0.670,3.716,0.078,0.078,0.078
-9.103,-0.651,3.692,-0.563,-0.563,-0.563
-9.390,-0.761,3.816,-0.797,-0.797,-0.797
-9.390,-0.761,3.816,-0.797,-0.797,-0.797

-11.440,-12.876,-2.064,-2.584,-2.584,-2.584
-14.442,-16.717,-0.105,-19.176,-19.176,-19.176
-10.913,-15.141,2.002,-30.192,-30.192,-30.192
-7.159,-10.664,3.850,-31.979,-31.979,-31.979
-5.387,-4.697,3.227,-23.314,-23.314,-23.314
-5.459,-0.555,3.065,-17.019,-17.019,-17.019
-5.847,2.729,3.974,-17.194,-17.194,-17.194
-6.771,3.649,4.731,-14.688,-14.688,-14.688
-6.771,3.649,4.731,-14.688,-14.688,-14.688
-8.318,5.722,4.827,1.166,1.166,1.166
-7.585,4.741,4.300,11.560,11.560,11.560
-7.709,5.330,3.797,14.882,14.882,14.882
-8.222,4.803,3.472,13.522,13.522,13.522
-8.222,4.803,3.472,13.522,13.522,13.522
-8.988,3.065,3.745,9.326,9.326,9.326
-9.778,3.721,3.816,12.764,12.764,12.764
-10.362,2.950,3.338,20.089,20.089,20.089
-10.401,2.246,2.279,27.841,27.841,27.841
-10.343,1.595,1.954,29.978,29.978,29.978
-9.366,1.360,2.361,25.723,25.723,25.723
-9.366,1.360,2.361,25.723,25.723,25.723
-9.984,1.504,2.782,22.207,22.207,22.207
-9.984,1.504,2.782,22.207,22.207,22.207
-9.721,0.704,3.309,21.468,21.468,21.468
-9.333,0.627,3.362,22.440,22.440,22.440
-8.978,0.469,2.916,24.557,24.557,24.557
-8.911,0.555,2.552,24.383,24.383,24.383
-9.496,0.661,2.729,22.343,22.343,22.343
-9.496,0.661,2.729,22.343,22.343,22.343
-10.329,1.025,3.266,29.162,29.162,29.162
-9.879,1.274,3.323,30.231,30.231,30.231
-9.879,1.274,3.323,30.231,30.231,30.231
-8.768,1.499,3.400,28.599,28.599,28.599
-8.935,1.384,3.467,28.637,28.637,28.637
-9.045,1.508,3.472,28.307,28.307,28.307
-9.203,1.451,3.347,27.355,27.355,27.355
-9.352,1.528,3.534,24.324,24.324,24.324
-8.978,1.499,3.840,21.507,21.507,21.507
-8.351,1.642,4.420,18.321,18.321,18.321
-8.351,1.642,4.420,18.321,18.321,18.321
-7.863,1.700,4.961,13.930,13.930,13.930
-7.518,1.355,4.894,13.075,13.075,13.075
-7.489,1.307,4.903,10.588,10.588,10.588
-7.853,1.188,5.339,6.722,6.722,6.722
-7.853,1.188,5.339,6.722,6.722,6.722
-8.600,0.230,5.842,3.905,3.905,3.905
-8.954,0.043,6.158,4.080,4.080,4.080
-8.744,0.354,6.350,5.595,5.595,5.595
-8.251,0.014,6.010,8.004,8.004,8.004
-8.069,-0.196,5.286,8.646,8.646,8.646
-7.987,-0.215,5.119,6.703,6.703,6.703
-7.987,-0.215,5.119,6.703,6.703,6.703
-8.653,0.024,5.114,3.536,3.536,3.536
-8.945,-0.101,4.798,2.856,2.856,2.856
-8.873,-0.101,4.875,2.565,2.565,2.565
-8.835,-0.235,4.621,2.467,2.467,2.467
-9.184,-0.254,4.396,1.205,1.205,1.205
-9.381,-0.302,4.506,-0.699,-0.699,-0.699
-9.160,-0.354,4.458,-1.865,-1.865,-1.865
-9.160,-0.354,4.458,-1.865,-1.865,-1.865
-8.935,-0.575,4.276,-1.302,-1.302,-1.302
-9.045,-0.646,4.247,-1.496,-1.496,-1.496
-9.098,-0.666,4.228,-1.671,-1.671,-1.671
-8.959,-0.594,4.118,-2.040,-2.040,-2.040
-8.691,-0.608,4.152,-2.001,-2.001,-2.001
-8.753,-0.579,4.065,-1.613,-1.613,-1.613
-8.844,-0.752,4.123,-0.855,-0.855,-0.855
-8.892,-0.857,4.305,-0.835,-0.835,-0.835
-8.840,-0.881,4.233,-0.738,-0.738,-0.738
-8.686,-0.785,4.281,-0.699,-0.699,-0.699
-8.686,-0.785,4.281,-0.699,-0.699,-0.699
-8.811,-0.757,4.305,0.699,0.699,0.699
-8.854,-0.752,4.334,1.069,1.069,1.069
-8.677,-0.718,4.252,0.855,0.855,0.855
-8.682,-0.728,4.214,0.311,0.311,0.311
-8.682,-0.728,4.214,0.311,0.311,0.311
-8.873,-0.709,4.386,-1.243,-1.243,-1.243
-8.787,-0.551,4.353,-1.146,-1.146,-1.146
-8.787,-0.551,4.353,-1.146,-1.146,-1.146
-8.653,-0.790,4.190,-1.205,-1.205,-1.205
-8.830,-0.876,4.329,-1.224,-1.224,-1.224
-9.050,-1.073,4.219,-0.971,-0.971,-0.971
-8.868,-1.049,4.338,-1.690,-1.690,-1.690
-8.753,-0.795,4.463,-1.574,-1.574,-1.574
-8.696,-0.943,4.429,0.039,0.039,0.039
-8.705,-0.986,4.233,1.010,1.010,1.010
-8.643,-0.761,4.290,0.350,0.350,0.350
-8.705,-0.781,4.238,0.136,0.136,0.136
-8.705,-0.781,4.238,0.136,0.136,0.136
-8.710,-0.800,4.310,-0.175,-0.175,-0.175
-8.691,-0.781,4.310,-0.117,-0.117,-0.117
-8.744,-0.814,4.247,-0.233,-0.233,-0.233
-8.921,-0.857,4.137,-0.330,-0.330,-0.330
-8.921,-0.857,4.137,-0.330,-0.330,-0.330
-8.796,-0.809,4.448,-1.243,-1.243,-1.243
-8.820,-0.939,4.535,-0.583,-0.583,-0.583
-8.820,-0.939,4.535,-0.583,-0.583,-0.583
-8.749,-0.934,4.358,0.447,0.447,0.447
-8.648,-0.862,4.362,-0.233,-0.233,-0.233
-8.629,-0.962,4.425,-0.427,-0.427,-0.427
-8.696,-0.881,4.559,0.039,0.039,0.039
-8.672,-0.876,4.535,0.661,0.661,0.661
-8.533,-0.838,4.310,0.894,0.894,0.894
-8.514,-0.800,4.367,0.214,0.214,0.214
-8.547,-0.781,4.535,-0.408,-0.408,-0.408
-8.705,-0.790,4.415,0.039,0.039,0.039
-8.911,-0.848,4.362,0.486,0.486,0.486
-9.031,-0.828,4.367,0.175,0.175,0.175
-9.031,-0.828,4.367,0.175,0.175,0.175
-8.595,-0.804,4.573,0.019,0.019,0.019
-8.389,-0.824,4.559,0.078,0.078,0.078
-8.495,-0.800,4.530,0.194,0.194,0.194
-8.495,-0.800,4.530,0.194,0.194,0.194
-8.715,-0.876,4.630,0.078,0.078,0.078
-8.538,-0.809,4.611,0.272,0.272,0.272
-8.614,-0.747,4.353,0.194,0.194,0.194
-8.734,-0.766,4.329,-0.253,-0.253,-0.253
-9.050,-0.809,4.520,-0.486,-0.486,-0.486
-9.170,-0.757,4.640,-0.214,-0.214,-0.214

-11.617,-16.635,-0.675,-6.567,-6.567,-6.567
-9.979,-15.740,-1.058,-11.715,-11.715,-11.715
-7.499,-12.986,0.374,-21.430,-21.430,-21.430
-3.965,-7.853,2.739,-24.538,-24.538,-24.538
-2.567,-2.433,4.597,-19.759,-19.759,-19.759
-3.419,2.193,5.282,-10.219,-10.219,-10.219
-5.028,4.492,5.205,2.079,2.079,2.079
-7.278,4.980,4.204,11.404,11.404,11.404
-8.768,4.171,2.978,14.960,14.960,14.960
-10.515,6.225,2.954,11.268,11.268,11.268
-11.033,5.732,2.926,18.787,18.787,18.787
-11.971,2.409,1.738,33.689,33.689,33.689
-11.109,3.304,1.513,33.961,33.961,33.961
-10.990,4.176,2.308,25.898,25.898,25.898
-11.636,4.080,2.725,21.546,21.546,21.546
-10.870,2.773,1.834,33.106,33.106,33.106
-10.731,1.398,0.982,40.469,40.469,40.469
-10.290,1.508,1.446,33.009,33.009,33.009
-9.893,1.714,2.294,27.899,27.899,27.899
-10.008,2.073,2.753,33.417,33.417,33.417
-8.567,1.619,1.796,45.054,45.054,45.054
-8.193,1.082,1.279,44.238,44.238,44.238
-8.892,1.844,1.700,33.281,33.281,33.281
-9.745,2.672,2.825,26.170,26.170,26.170
-9.074,3.050,3.160,29.803,29.803,29.803
-9.529,2.246,2.198,39.206,39.206,39.206
-9.529,2.246,2.198,39.206,39.206,39.206
-10.324,1.686,1.494,35.185,35.185,35.185
-9.984,1.676,1.614,29.045,29.045,29.045
-9.160,2.083,2.126,23.897,23.897,23.897
-9.405,1.820,2.672,20.128,20.128,20.128
-9.927,1.695,3.299,18.224,18.224,18.224
-10.554,1.911,4.262,16.534,16.534,16.534
-9.601,1.944,5.234,16.980,16.980,16.980
-9.194,1.638,5.076,16.747,16.747,16.747
-7.911,1.547,5.377,16.300,16.300,16.300
-7.489,1.982,5.603,15.718,15.718,15.718
-7.336,1.968,5.574,14.902,14.902,14.902
-7.183,1.896,5.569,14.416,14.416,14.416
-7.183,1.896,5.569,14.416,14.416,14.416
-7.264,1.705,5.181,12.998,12.998,12.998
-7.278,1.781,5.009,9.967,9.967,9.967
-7.882,1.374,5.310,4.605,4.605,4.605
-7.882,1.374,5.310,4.605,4.605,4.605
-8.883,0.642,5.387,5.168,5.168,5.168
-8.931,0.397,4.913,4.566,4.566,4.566
-8.801,0.239,4.688,2.953,2.953,2.953
-9.007,0.125,4.693,0.000,0.000,0.000
-8.772,0.273,5.052,-1.379,-1.379,-1.379
-8.734,0.077,4.975,-0.291,-0.291,-0.291
-9.041,-0.010,4.697,0.641,0.641,0.641
-9.141,-0.148,4.607,0.641,0.641,0.641
-9.141,-0.148,4.607,0.641,0.641,0.641
-8.734,-0.158,4.659,-1.787,-1.787,-1.787
-8.595,-0.110,4.659,-1.710,-1.710,-1.710
-8.729,0.010,4.559,-1.069,-1.069,-1.069
-8.428,-0.220,4.683,-1.010,-1.010,-1.010
-8.155,-0.163,4.281,-1.593,-1.593,-1.593
-8.155,-0.460,4.381,-2.390,-2.390,-2.390
-8.911,-0.393,4.166,-3.264,-3.264,-3.264
-9.270,-0.517,4.281,-4.391,-4.391,-4.391
-9.089,-0.680,4.568,-4.371,-4.371,-4.371
-9.376,-0.594,4.482,-3.147,-3.147,-3.147
-9.376,-0.594,4.482,-3.147,-3.147,-3.147
-8.725,-0.809,4.472,-0.719,-0.719,-0.719
-8.725,-0.809,4.472,-0.719,-0.719,-0.719
-8.509,-0.728,4.367,0.117,0.117,0.117
-8.595,-0.464,4.199,0.758,0.758,0.758
-8.581,-0.436,4.276,0.894,0.894,0.894
-8.849,-0.259,4.147,0.913,0.913,0.913
-8.844,-0.259,4.003,1.185,1.185,1.185
-8.437,-0.364,4.046,0.719,0.719,0.719
-8.538,-0.297,4.161,0.058,0.058,0.058
-8.758,-0.407,4.252,-0.253,-0.253,-0.253
-8.758,-0.407,4.252,-0.253,-0.253,-0.253
-8.586,-0.632,4.621,-1.166,-1.166,-1.166
-8.950,-0.608,4.678,-0.427,-0.427,-0.427
-8.950,-0.608,4.678,-0.427,-0.427,-0.427
-8.849,-0.570,4.492,0.058,0.058,0.058
-8.744,-0.469,4.358,0.136,0.136,0.136
-8.753,-0.302,4.396,0.330,0.330,0.330
-8.883,-0.268,4.176,0.525,0.525,0.525
-8.883,-0.345,4.156,0.427,0.427,0.427
-8.816,-0.479,4.219,-0.175,-0.175,-0.175
-8.734,-0.479,4.520,-0.641,-0.641,-0.641
-8.945,-0.627,4.372,-0.058,-0.058,-0.058
-9.045,-0.560,4.453,0.330,0.330,0.330
-8.672,-0.498,4.463,0.389,0.389,0.389
-8.346,-0.388,4.420,0.253,0.253,0.253
-8.456,-0.330,4.453,0.214,0.214,0.214
-8.705,-0.474,4.314,0.427,0.427,0.427
-8.825,-0.493,4.391,0.136,0.136,0.136
-8.792,-0.488,4.516,0.019,0.019,0.019
-8.931,-0.503,4.429,0.253,0.253,0.253
-8.926,-0.522,4.358,0.097,0.097,0.097
-8.935,-0.441,4.338,-0.019,-0.019,-0.019
-8.811,-0.479,4.420,-0.330,-0.330,-0.330
-8.753,-0.364,4.544,-0.389,-0.389,-0.389
-8.725,-0.421,4.367,0.019,0.019,0.019
-8.519,-0.431,4.381,-0.253,-0.253,-0.253
-8.519,-0.431,4.381,-0.253,-0.253,-0.253
-9.012,-0.589,4.381,-0.602,-0.602,-0.602
-8.916,-0.532,4.405,-0.855,-0.855,-0.855
-8.916,-0.532,4.405,-0.855,-0.855,-0.855
-8.777,-0.388,4.334,-0.699,-0.699,-0.699
-9.156,-0.579,4.185,-0.777,-0.777,-0.777
-9.194,-0.498,4.410,-0.894,-0.894,-0.894
-9.055,-0.532,4.310,-0.291,-0.291,-0.291
-8.739,-0.498,4.219,-0.427,-0.427,-0.427
-8.428,-0.503,4.305,-0.894,-0.894,-0.894
-8.418,-0.464,4.377,-0.952,-0.952,-0.952
-8.682,-0.536,4.381,-0.486,-0.486,-0.486
-8.954,-0.560,4.367,-0.466,-0.466,-0.466
-8.835,-0.479,4.415,-0.933,-0.933,-0.933
-8.605,-0.570,4.286,-0.622,-0.622,-0.622
-8.887,-0.546,4.209,0.097,0.097,0.097
-9.017,-0.584,4.123,0.000,0.000,0.000
-9.065,-0.417,4.501,-0.505,-0.505,-0.505
-9.065,-0.417,4.501,-0.505,-0.505,-0.505

-10.606,-10.793,-1.121,-22.770,-22.770,-22.770
-9.706,-9.649,0.067,-26.636,-26.636,-26.636
-9.160,-7.044,1.178,-25.762,-25.762,-25.762
-8.375,-3.931,2.466,-25.179,-25.179,-25.179
-8.016,-2.006,3.802,-23.275,-23.275,-23.275
-7.944,-1.216,4.645,-19.487,-19.487,-19.487
-7.853,0.651,5.507,-14.202,-14.202,-14.202
-7.853,0.651,5.507,-14.202,-14.202,-14.202
-7.413,4.578,5.631,-0.719,-0.719,-0.719
-7.413,4.578,5.631,-0.719,-0.719,-0.719
-7.068,3.989,5.191,13.347,13.347,13.347
-7.379,4.061,4.812,20.264,20.264,20.264
-8.212,3.515,4.041,27.938,27.938,27.938
-8.490,2.907,2.749,33.669,33.669,33.669
-8.667,3.271,2.337,35.845,35.845,35.845
-9.213,3.352,1.887,35.768,35.768,35.768
-9.261,3.400,1.370,41.596,41.596,41.596
-9.112,2.682,0.608,47.483,47.483,47.483
-9.112,2.682,0.608,47.483,47.483,47.483
-9.270,2.174,0.747,45.715,45.715,45.715
-9.438,2.097,1.226,41.246,41.246,41.246
-10.286,2.370,1.915,49.134,49.134,49.134
-10.803,1.772,1.891,52.573,52.573,52.573
-10.803,1.772,1.891,52.573,52.573,52.573
-11.377,1.753,1.906,51.194,51.194,51.194
-10.913,2.260,1.973,50.786,50.786,50.786
-10.329,2.547,2.174,51.116,51.116,51.116
-10.070,2.701,2.160,50.164,50.164,50.164
-9.802,2.634,2.332,47.094,47.094,47.094
-9.596,2.571,2.547,41.324,41.324,41.324
-9.486,3.146,3.065,36.001,36.001,36.001
-9.294,2.887,3.347,32.348,32.348,32.348
-8.978,2.830,3.749,28.909,28.909,28.909
-8.978,2.830,3.749,28.909,28.909,28.909
-9.055,2.394,4.104,25.587,25.587,25.587
-9.376,2.442,4.429,22.129,22.129,22.129
-8.844,2.289,4.812,19.448,19.448,19.448
-8.025,1.992,4.611,18.204,18.204,18.204
-7.676,2.006,4.717,14.086,14.086,14.086
-7.595,1.863,4.865,10.336,10.336,10.336
-7.963,1.432,4.946,8.276,8.276,8.276
-8.385,1.116,4.908,7.266,7.266,7.266
-8.404,0.733,4.913,5.557,5.557,5.557
-8.404,0.733,4.913,5.557,5.557,5.557
