aX,aY,aZ,gX,gY,gZ
-18.072,-17.066,0.263,15.368,15.368,15.368
-16.961,-18.014,-1.049,19.331,19.331,19.331
-16.961,-18.014,-1.049,19.331,19.331,19.331
-10.214,-18.110,-3.438,24.421,24.421,24.421
-7.662,-16.472,-4.535,27.122,27.122,27.122
-6.991,-15.539,-4.836,28.696,28.696,28.696
-5.478,-14.485,-3.950,23.625,23.625,23.625
-3.476,-12.215,-3.002,18.107,18.107,18.107
-2.351,-9.874,-2.184,15.523,15.523,15.523
-1.997,-8.212,-1.901,13.386,13.386,13.386
-1.820,-6.225,-0.929,12.939,12.939,12.939
-2.600,-5.306,-0.297,15.310,15.310,15.310
-2.600,-5.306,-0.297,15.310,15.310,15.310
-3.539,-3.069,0.086,13.542,13.542,13.542
-3.390,-2.294,0.230,12.026,12.026,12.026
-4.118,-1.322,0.699,10.977,10.977,10.977
-4.501,-0.876,1.255,10.783,10.783,10.783
-5.421,-1.034,1.312,13.425,13.425,13.425
-5.756,-0.848,0.943,16.572,16.572,16.572
-4.846,-0.828,0.690,19.681,19.681,19.681
-4.846,-0.828,0.690,19.681,19.681,19.681
-4.085,-0.129,0.120,18.399,18.399,18.399
-4.410,0.211,0.134,13.250,13.250,13.250
-4.185,0.235,0.646,10.278,10.278,10.278
-3.285,0.455,0.761,7.810,7.810,7.810
-2.883,1.508,0.948,4.643,4.643,4.643
-3.888,2.351,1.365,2.273,2.273,2.273
-3.888,2.351,1.365,2.273,2.273,2.273
-5.114,2.045,2.126,-0.699,-0.699,-0.699
-7.211,2.078,3.309,-0.661,-0.661,-0.661
-8.361,1.235,3.491,-0.175,-0.175,-0.175
-9.203,1.777,3.658,-3.264,-3.264,-3.264
-8.701,2.251,3.457,-4.391,-4.391,-4.391
-9.711,1.997,4.171,-2.293,-2.293,-2.293
-9.711,1.997,4.171,-2.293,-2.293,-2.293
-8.844,2.083,3.429,2.642,2.642,2.642
-8.763,2.504,1.743,3.497,3.497,3.497
-8.380,2.284,1.844,1.982,1.982,1.982
-9.089,1.733,2.739,-1.496,-1.496,-1.496
-9.342,1.834,3.036,-1.710,-1.710,-1.710
-9.500,1.604,2.844,0.952,0.952,0.952
-9.041,1.729,2.959,1.865,1.865,1.865
-8.969,1.609,3.055,1.632,1.632,1.632
-9.361,1.302,3.299,1.049,1.049,1.049
-9.361,1.302,3.299,1.049,1.049,1.049
-9.136,1.279,3.122,1.477,1.477,1.477
-8.777,1.370,2.998,2.370,2.370,2.370
-8.887,1.566,3.170,-0.311,-0.311,-0.311
-8.533,1.786,3.309,-0.466,-0.466,-0.466
-8.533,1.786,3.309,-0.466,-0.466,-0.466
-8.528,1.748,3.366,0.175,0.175,0.175
-8.691,1.604,3.227,-0.272,-0.272,-0.272
-8.519,1.532,3.079,-0.855,-0.855,-0.855
-8.519,1.532,3.079,-0.855,-0.855,-0.855
-8.772,1.575,3.266,-0.699,-0.699,-0.699
-8.772,1.575,3.266,-0.699,-0.699,-0.699
-8.825,1.393,3.232,0.466,0.466,0.466
-8.825,1.393,3.232,0.466,0.466,0.466
-8.638,1.298,2.978,0.466,0.466,0.466
-8.873,1.025,2.931,-0.933,-0.933,-0.933
-8.782,1.168,3.036,-1.224,-1.224,-1.224
-8.591,1.044,2.911,-0.155,-0.155,-0.155
-8.610,0.996,2.610,-0.175,-0.175,-0.175
-8.485,1.015,2.792,-1.807,-1.807,-1.807
-8.476,1.121,2.868,-2.176,-2.176,-2.176
-8.753,0.800,3.012,-2.157,-2.157,-2.157
-8.662,0.776,3.060,-2.390,-2.390,-2.390
-8.763,0.833,3.328,-2.409,-2.409,-2.409
-9.045,0.670,3.395,-1.379,-1.379,-1.379
-9.232,0.594,3.232,-0.019,-0.019,-0.019
-9.103,0.484,2.907,0.019,0.019,0.019
-9.309,0.508,3.122,-0.952,-0.952,-0.952
-9.189,0.182,3.314,-1.049,-1.049,-1.049
-9.620,0.177,3.074,-0.039,-0.039,-0.039
-9.184,0.350,2.332,0.155,0.155,0.155
