aX,aY,aZ,gX,gY,gZ
-1.283,0.737,-8.983,0.000,-0.214,0.622
-1.494,0.555,-9.089,0.680,0.291,0.291

-11.698,-0.148,-12.474,-7.771,32.951,-17.583
-13.523,0.752,-13.762,-11.657,40.877,-26.656
-14.116,1.848,-14.629,-13.134,52.224,-36.059
-15.108,3.084,-15.405,-10.550,64.017,-46.026
-17.918,3.917,-14.619,-0.777,75.207,-59.198
-18.383,5.847,-11.464,2.662,77.422,-81.347
-19.053,7.307,-7.906,-6.897,66.037,-100.639
-17.535,10.812,-1.729,-25.704,48.746,-121.291
-17.535,10.812,-1.729,-25.704,48.746,-121.291
-7.269,17.344,12.967,-67.747,53.739,-131.258
-3.587,18.632,16.401,-85.932,76.023,-124.594
3.496,16.487,14.049,-109.576,75.246,-110.703
3.496,16.487,14.049,-109.576,75.246,-110.703
8.490,11.804,9.874,-112.996,66.717,-76.451
8.883,11.320,8.102,-35.340,69.301,3.361
6.728,14.787,10.295,0.117,69.690,18.496
5.650,17.842,11.282,10.433,58.266,8.587
6.862,18.847,11.315,3.866,39.770,-18.651
6.862,18.847,11.315,3.866,39.770,-18.651
12.991,16.075,6.201,-20.147,5.887,-57.527
15.419,13.034,5.282,-17.894,8.063,-58.130
15.419,13.034,5.282,-17.894,8.063,-58.130
16.065,9.462,1.370,-3.400,36.700,-27.258
15.644,8.926,-2.030,-5.401,40.294,-15.018
15.644,8.926,-2.030,-5.401,40.294,-15.018
13.389,10.329,-8.480,-1.263,24.441,-7.752
12.201,11.061,-8.495,4.702,11.618,-6.509
11.737,10.616,-7.307,2.448,-2.176,-8.412
11.392,9.994,-6.445,-4.935,-18.127,-8.782
11.248,9.960,-6.321,-7.208,-27.122,-5.770
10.669,10.511,-5.641,-2.351,-30.095,2.118
9.577,11.732,-4.132,6.606,-29.201,10.783
8.279,12.656,-2.351,12.784,-29.570,16.398
8.279,12.656,-2.351,12.784,-29.570,16.398
6.953,13.029,-1.010,9.617,-40.275,15.834
7.063,12.670,-1.097,7.577,-46.958,12.881
7.063,12.670,-1.097,7.577,-46.958,12.881
7.173,11.904,0.072,11.404,-51.505,9.870
7.173,11.904,0.072,11.404,-51.505,9.870
6.287,10.956,1.489,12.395,-53.914,10.375
5.449,10.377,2.155,13.697,-53.098,10.802
5.052,10.161,1.877,15.057,-52.301,12.609
4.204,9.984,1.719,18.146,-50.669,16.475
3.567,9.912,1.796,22.440,-48.862,17.019
2.835,9.955,2.868,24.829,-48.940,18.787
1.044,9.840,3.668,23.683,-49.737,20.575
1.044,9.840,3.668,23.683,-49.737,20.575
1.092,10.386,3.778,22.673,-51.310,19.254
-0.819,9.606,3.203,21.974,-53.156,15.873
-0.819,9.606,3.203,21.974,-53.156,15.873
-2.222,9.539,1.944,21.371,-51.252,19.759
-2.222,9.539,1.944,21.371,-51.252,19.759
-4.860,8.993,1.231,20.808,-48.960,19.972
-4.860,8.993,1.231,20.808,-48.960,19.972
-4.453,9.084,-0.287,16.747,-51.466,15.465
-3.778,7.891,-0.086,16.689,-49.270,15.562
-5.966,7.164,-1.293,10.919,-45.540,19.778
-7.379,7.724,-2.567,11.735,-39.595,20.886
-7.125,8.231,-2.356,15.523,-37.322,20.847
-6.182,7.700,-1.844,14.377,-36.545,19.234
-7.001,6.967,-3.366,5.246,-34.311,18.321
-7.738,6.996,-4.812,2.467,-31.144,16.300
-7.738,6.996,-4.812,2.467,-31.144,16.300
-6.196,6.359,-5.306,19.564,-28.676,17.350
-5.138,5.167,-3.979,25.684,-25.257,19.040
-6.273,4.410,-4.123,15.679,-24.693,20.808
-7.695,4.985,-6.757,4.857,-22.964,20.244
-7.762,5.363,-8.298,6.664,-22.129,18.282
-7.192,5.631,-8.097,14.222,-23.100,18.302
-7.044,5.248,-6.871,18.166,-22.187,17.388
-6.752,4.994,-6.651,12.648,-18.340,14.358
-6.766,5.258,-8.164,5.226,-13.930,11.132
-6.766,5.258,-8.164,5.226,-13.930,11.132
-5.401,5.579,-8.883,5.401,-8.995,7.130
-5.401,5.579,-8.883,5.401,-8.995,7.130
-4.688,5.737,-8.308,6.761,-9.734,5.421
-3.955,5.952,-7.207,-0.330,-8.160,3.011
-3.443,6.120,-7.365,-4.022,-5.848,1.360
-3.050,6.302,-7.839,-4.682,-0.777,0.719
-2.897,6.378,-8.222,-2.312,4.954,1.243
-2.773,6.292,-8.523,1.554,8.043,1.943
-2.624,6.613,-8.064,5.071,7.422,2.215
-2.634,6.737,-7.647,6.023,6.062,1.710
-2.375,6.776,-7.125,5.421,4.352,0.466
-2.318,6.718,-6.790,4.197,2.662,0.097
-2.318,6.718,-6.790,4.197,2.662,0.097
-2.356,6.551,-6.120,5.479,3.497,0.913
-2.495,6.330,-5.909,6.897,5.479,0.583
-2.303,6.278,-5.775,6.858,4.313,-0.447
-2.255,6.211,-5.641,4.566,2.973,-1.069
-2.160,6.163,-5.784,2.001,3.225,-1.982
-2.145,6.101,-6.139,0.291,3.342,-2.331
-2.169,6.115,-6.393,0.466,3.614,-1.943
-2.313,5.971,-6.402,1.224,4.469,-1.379
-2.461,5.995,-6.575,1.787,5.071,-1.399
-2.413,6.105,-6.441,1.651,4.838,-2.273
-2.107,6.211,-6.450,-1.107,3.458,-2.837
-2.107,6.211,-6.450,-1.107,3.458,-2.837
-1.868,6.211,-6.972,-2.837,4.138,-2.739
-1.839,6.211,-7.499,-2.079,5.090,-1.982
-2.040,6.220,-7.355,1.651,4.255,-0.039
-2.073,6.182,-6.953,2.312,3.866,-0.039
-2.026,6.110,-6.871,1.613,3.206,0.039
-1.920,6.091,-6.780,1.885,3.264,0.350
-1.920,6.091,-6.780,1.885,3.264,0.350
-1.939,6.105,-6.814,2.467,3.672,1.807
-1.939,6.105,-7.020,2.273,3.633,0.894
-1.834,6.115,-6.747,1.826,1.515,0.155
-1.719,6.057,-6.426,0.680,0.486,-0.078
-1.719,6.057,-6.426,0.680,0.486,-0.078
-1.748,6.187,-6.848,0.175,3.614,1.205
-1.997,6.124,-6.962,1.049,4.469,1.787
-1.834,6.187,-6.824,1.049,3.478,1.224
-1.772,6.201,-6.728,-0.699,2.118,0.427
-1.671,6.187,-6.977,-1.846,1.749,-0.272
-1.681,6.048,-7.111,-1.632,1.574,-0.194
-1.609,5.942,-7.039,-1.010,1.321,0.175
-1.504,6.005,-7.063,-0.544,1.205,0.777
-1.614,6.124,-7.149,0.505,1.477,1.457

-3.165,5.425,-7.776,15.931,-14.105,-3.847
-4.061,4.913,-8.040,19.720,-17.388,-5.421
-5.555,4.152,-8.921,26.772,-24.499,-8.548
-6.278,3.543,-9.563,39.770,-37.944,-12.182
-6.292,2.950,-7.484,62.074,-49.912,-13.561
-8.231,3.022,-5.732,65.862,-50.533,-12.104
-10.271,2.466,-3.275,70.506,-43.889,-13.852
-13.551,2.322,-1.872,73.964,-43.733,-19.895
-13.915,3.060,-0.934,72.934,-53.370,-36.215
-15.074,4.745,-0.110,65.590,-58.110,-50.048
-14.729,3.481,1.331,48.241,-57.799,-53.428
-14.547,3.247,2.188,28.210,-67.358,-54.244
-13.178,4.841,3.136,11.599,-82.318,-55.585
-13.178,4.841,3.136,11.599,-82.318,-55.585
-13.063,5.516,3.984,6.159,-84.552,-55.060
