aX,aY,aZ,gX,gY,gZ
-2.155,0.766,-8.916,-0.039,0.175,-0.117
-2.160,0.809,-8.772,-0.486,1.166,-0.447
-2.160,0.809,-8.772,-0.486,1.166,-0.447

-6.014,12.096,-11.033,9.190,-10.841,-5.906
-4.990,12.067,-10.180,5.945,-20.944,-9.364
-5.033,11.933,-8.025,3.225,-34.447,-14.396
-5.033,11.933,-8.025,3.225,-34.447,-14.396
-4.535,11.239,-3.802,-6.742,-36.778,-12.162
-4.535,11.239,-3.802,-6.742,-36.778,-12.162
-2.375,9.199,-2.926,9.423,-30.580,-4.469
-0.943,7.264,-2.653,14.513,-29.823,-5.887
0.579,5.047,-1.619,12.590,-30.677,-12.998
2.198,0.565,-0.374,7.694,-29.415,-26.500
2.198,0.565,-0.374,7.694,-29.415,-26.500
3.716,-4.386,-0.651,1.554,-14.241,-40.897
5.301,-12.699,-2.069,20.419,17.874,-44.782
6.019,-16.985,-4.214,51.854,16.806,-32.096
6.019,-16.985,-4.214,51.854,16.806,-32.096
1.422,-25.039,-8.193,98.094,-20.827,-43.481
-4.630,-26.054,-8.945,99.648,-40.761,-51.077
-8.969,-22.587,-8.614,76.606,-34.019,-38.565
-4.243,-18.033,-7.494,36.079,5.149,-1.224
-4.243,-18.033,-7.494,36.079,5.149,-1.224
-0.019,-10.975,-1.441,-14.960,1.166,6.625
-3.654,-12.402,-1.834,-4.624,-6.917,-11.929
-7.164,-14.854,-3.879,17.388,-13.950,-15.854
-8.916,-18.225,-5.741,27.996,-16.417,-6.625
-7.346,-17.588,-7.642,15.990,-3.575,8.995
-4.142,-15.213,-8.543,-6.683,7.849,16.378
-2.337,-15.754,-7.858,-21.099,-2.856,16.572
-3.725,-14.432,-5.636,-34.039,-17.019,14.144
-5.004,-13.326,-3.280,-45.016,-21.022,12.046
-4.362,-12.287,-2.140,-42.179,-21.818,19.370
-1.279,-9.290,-3.151,-33.533,-18.321,33.728
-0.177,-4.918,-4.128,-30.755,-10.977,37.147
-0.254,-2.437,-4.334,-29.667,-7.558,28.327
-0.254,-2.437,-4.334,-29.667,-7.558,28.327
-2.035,-1.757,-2.950,-27.025,-20.439,21.294
-3.716,-1.484,-2.547,-23.839,-13.386,25.121
-4.870,0.220,-2.227,-29.492,4.488,21.604
-5.540,1.532,-1.733,-27.452,12.182,18.438
-5.540,1.532,-1.733,-27.452,12.182,18.438
-4.961,2.279,-3.022,-5.906,-6.411,23.023
-6.828,3.031,-3.041,-0.097,-6.742,22.945
-8.279,2.193,-3.266,-2.934,5.071,17.214
-8.294,1.542,-3.299,-5.129,15.407,15.601
-8.294,1.542,-3.299,-5.129,15.407,15.601
-6.666,1.389,-4.750,12.123,2.254,27.239
-6.666,1.389,-4.750,12.123,2.254,27.239
-5.727,2.811,-5.689,10.724,12.900,22.518
-6.273,2.327,-5.310,7.519,12.104,15.834
-7.058,1.753,-5.162,10.161,7.189,13.775
-7.058,1.753,-5.162,10.161,7.189,13.775
-6.316,1.537,-6.757,17.466,13.503,21.119
-6.316,1.537,-6.757,17.466,13.503,21.119
-6.378,1.437,-7.250,8.976,13.522,13.503
-7.001,1.690,-6.694,2.895,11.463,10.880
-6.962,2.073,-5.871,3.303,8.568,13.503
-6.929,2.006,-5.837,8.238,3.594,16.436
-6.747,2.466,-6.244,10.588,0.933,17.116
-6.690,3.069,-6.273,8.043,0.797,15.873
-6.522,4.176,-6.445,3.886,1.107,13.639
