aX,aY,aZ,gX,gY,gZ
0.032,-0.232,0.553,43.640,-54.016,81.543

0.040,1.555,1.697,-37.659,-34.241,46.448
-0.054,1.252,1.396,-22.583,-14.771,-7.141
-0.183,0.674,1.251,-15.747,-6.042,-51.880
-0.288,0.467,1.172,-16.357,-3.845,-62.744
-0.348,0.372,1.110,-24.963,-1.099,-60.364
-0.419,0.175,1.155,-37.476,-1.709,-61.829
-0.474,-0.041,1.177,-46.875,1.648,-58.350
-0.506,-0.130,1.232,-52.368,8.667,-45.837
-0.525,0.055,1.231,-55.115,19.409,-27.405
-0.255,0.843,1.356,-66.650,22.278,-9.766
0.021,1.808,1.826,-74.158,6.653,-8.789
-0.031,2.540,2.130,-56.335,3.601,-41.748
-0.231,2.738,1.901,-29.968,30.334,-115.417
-0.534,2.204,1.493,-9.277,51.331,-211.609
-0.803,1.437,1.329,4.517,49.133,-285.400
-0.938,0.872,1.561,9.521,38.330,-321.289
-0.973,0.654,1.911,9.705,36.987,-334.412
-1.049,0.596,1.993,19.531,59.265,-342.407
-1.154,0.441,1.747,34.363,95.947,-358.582
-1.240,0.234,1.417,53.589,125.244,-376.587
-1.252,0.173,1.273,68.420,141.113,-388.855
-1.230,0.342,1.482,67.017,152.222,-397.095
-1.385,0.596,1.725,56.885,177.490,-410.828
-1.714,0.959,1.510,45.898,227.478,-434.814
-2.178,1.228,0.952,36.987,278.992,-474.121
-2.723,0.760,0.480,40.161,294.617,-534.851
-3.085,-0.457,0.483,33.875,280.945,-596.069
-3.378,-1.435,0.106,20.386,276.001,-609.314
-3.199,-2.254,-0.412,28.931,264.526,-577.698
-2.912,-2.694,0.004,38.513,205.383,-524.597
-2.622,-2.405,0.330,53.040,169.739,-450.195
-2.407,-2.094,0.240,58.167,175.110,-391.907
-2.242,-1.719,0.186,28.381,183.105,-352.112
-2.049,-1.109,0.348,-8.850,183.105,-314.819
-1.841,-0.536,0.638,-42.419,181.763,-294.739
-2.036,-0.189,0.875,-49.988,184.875,-296.021
-2.261,-0.245,0.496,-43.701,200.012,-306.702
-2.293,-0.496,0.226,-33.203,204.102,-318.054
-2.505,-1.177,-0.207,-31.372,191.345,-332.581
-2.201,-1.816,-0.508,-29.175,149.475,-330.627
-2.003,-1.880,0.060,-30.090,80.811,-288.269
-1.762,-1.550,0.129,-27.649,45.959,-229.736
-1.673,-1.356,0.064,-23.132,35.522,-195.496
-1.536,-1.402,0.223,-37.842,12.878,-176.453
-1.460,-1.678,0.332,-48.462,-7.263,-165.344
-1.308,-1.802,0.302,-44.983,-24.109,-143.494
-1.145,-1.770,0.457,-34.363,-48.218,-114.197
-1.062,-1.792,0.655,-17.639,-71.838,-92.590
-0.957,-2.113,0.885,-8.240,-85.632,-78.979
