aX,aY,aZ,gX,gY,gZ
0.412,0.032,1.032,-8.240,-36.194,36.865

-1.934,0.276,-0.268,33.264,24.170,-65.247
-1.971,0.212,-0.255,5.554,-4.333,-29.297
-1.915,0.341,-0.155,-32.593,-34.180,28.381
-1.851,0.624,0.021,-71.045,-58.594,90.149
-1.785,0.943,0.212,-100.403,-71.289,138.184
-1.683,1.236,0.390,-118.225,-67.139,165.466
-1.572,1.484,0.482,-118.042,-39.001,170.349
-1.400,1.670,0.384,-92.712,15.625,156.189
-1.250,1.714,0.097,-49.866,80.811,118.896
-1.177,1.603,-0.324,-0.854,137.146,68.970
-1.105,1.435,-0.726,33.142,166.687,24.475
-0.985,1.261,-1.025,46.814,157.043,-8.240
-0.914,1.073,-1.175,44.739,106.689,-31.311
-0.853,0.926,-1.116,27.954,28.320,-38.086
-0.755,0.850,-0.812,2.014,-56.641,-29.968
-0.642,0.811,-0.356,-22.705,-125.305,-23.682
-0.594,0.746,0.072,-31.067,-165.100,-26.550
-0.523,0.642,0.430,-31.250,-174.011,-33.203
-0.472,0.531,0.682,-30.579,-155.579,-35.156
-0.456,0.471,0.816,-31.738,-114.685,-25.085
-0.439,0.511,0.816,-25.452,-60.852,-2.380
-0.456,0.667,0.647,-22.888,-5.981,25.269
-0.516,0.864,0.385,-23.193,40.466,48.218
-0.536,1.057,0.079,-28.015,75.500,60.791
-0.557,1.192,-0.236,-33.203,100.098,57.007
-0.572,1.235,-0.539,-32.166,112.854,36.804
-0.567,1.193,-0.806,-19.287,111.755,7.874
-0.574,1.082,-0.991,0.183,91.736,-21.545
-0.576,0.922,-1.045,16.541,53.284,-45.288
-0.553,0.747,-0.965,22.156,5.371,-57.800
-0.561,0.587,-0.756,16.296,-38.757,-57.678
-0.546,0.494,-0.482,5.249,-71.228,-46.692
-0.548,0.478,-0.207,-1.404,-89.050,-28.015
-0.569,0.527,0.005,-2.869,-88.623,-7.019
-0.576,0.659,0.113,-5.066,-70.923,14.526
-0.520,0.830,0.120,-8.789,-46.753,30.762
-0.434,0.972,0.087,-18.188,-27.100,33.997
-0.389,1.047,0.031,-24.414,-12.878,25.146
-0.365,1.020,-0.041,-20.935,-1.343,5.859
-0.357,0.900,-0.110,-8.423,6.836,-14.404
-0.388,0.749,-0.181,8.606,16.052,-28.809
-0.399,0.609,-0.320,29.846,29.663,-35.461
-0.469,0.527,-0.495,40.649,42.908,-32.166
-0.480,0.534,-0.672,40.100,47.058,-17.273
-0.460,0.589,-0.785,30.640,33.569,0.488
-0.418,0.643,-0.790,17.578,3.967,11.719
-0.321,0.694,-0.713,1.038,-29.236,19.226
-0.271,0.787,-0.498,-12.512,-59.631,29.358
-0.264,0.897,-0.287,-18.799,-80.933,39.795
-0.266,1.007,-0.101,-18.982,-82.886,43.945
-0.291,1.092,-0.007,-0.977,-71.289,39.185
-0.285,1.165,0.050,8.301,-52.124,29.724
-0.309,1.196,0.018,10.498,-30.640,16.235
-0.304,1.150,-0.068,6.531,-16.907,-1.099
-0.290,1.011,-0.192,-5.981,-8.484,-20.142
-0.193,0.864,-0.225,-10.193,-7.446,-32.898
-0.200,0.746,-0.282,-13.550,-11.047,-35.034
-0.225,0.642,-0.299,-30.334,-18.738,-30.029
-0.275,0.611,-0.258,-25.574,-24.780,-15.198
-0.216,0.721,-0.211,-23.010,-20.020,6.836
-0.258,0.857,-0.276,-11.780,-3.540,21.484
-0.267,1.028,-0.417,23.132,13.306,30.396
-0.333,1.128,-0.530,24.597,26.306,25.513
-0.333,1.161,-0.627,29.907,30.640,7.935
-0.308,1.095,-0.710,32.349,24.719,-14.038
-0.291,0.948,-0.765,33.508,13.489,-37.476
-0.158,0.803,-0.749,28.137,-3.906,-50.171
-0.159,0.646,-0.713,24.475,-30.640,-52.307
-0.173,0.523,-0.557,-3.052,-59.265,-40.344
-0.166,0.526,-0.367,-11.963,-72.998,-15.869
