// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
1	0.0001	-8.660390625	0.71611083984375	-5.00798583984375	0.334675772815499	0.82516654992706	-0.455073941213756	0.379172873288264	-0.56002485921168	-0.736613934993942	-0.862681899226285	0.0739751441121294	-0.500307524229767
2	0.0001	-8.53525085449219	0.913101196289062	-4.96008544921875	0.336821578473855	0.82474648284514	-0.45425154188946	0.379292784139872	-0.560414012413783	-0.736256150120126	-0.861793599520097	0.0756926266214618	-0.501579921947977
3	0.0001	-8.66398315429688	0.860410766601563	-5.00379455566406	0.337372082488679	0.824535098394662	-0.454226759969684	0.378737906031212	-0.560628959015887	-0.736378142565256	-0.861822299834685	0.0764005355221257	-0.501423256021883
4	0.0001	-8.64901428222656	0.9196875	-4.88703735351563	0.338075555041495	0.824295110696689	-0.454139284322462	0.3783278027847	-0.560879917741382	-0.73639784866234	-0.86172675061384	0.07714459382195	-0.501473547578095
5	0.0001	-8.76217895507813	0.861608276367188	-4.95170288085937	0.338137379827844	0.824523312827867	-0.453678761864076	0.378415319392873	-0.560508487019625	-0.736635650798793	-0.861664063549102	0.0774050552763245	-0.501541123942712
6	0.0001	-8.66577941894531	0.825682983398437	-4.88524108886719	0.338367198958322	0.824382688966386	-0.453762956621242	0.378131954328562	-0.560677722372914	-0.736652371712998	-0.861698244041824	0.0776767260334351	-0.501440387731149
7	0.0001	-8.6747607421875	0.786165161132813	-4.95709167480469	0.338666885961091	0.8243757161143	-0.453552002569113	0.378084390258372	-0.560640781085104	-0.736704899147032	-0.861601377782309	0.0780166217245986	-0.50155405744377
8	0.0001	-8.71068603515625	0.728684692382813	-4.93733276367188	0.338720764234812	0.824058796659132	-0.454087374328872	0.377756810266692	-0.561117623431041	-0.736509881109707	-0.861723874668284	0.0779365916871188	-0.501356012732345
9	0.0001	-8.71367980957031	0.774788818359375	-4.87985229492188	0.339019721086779	0.823615647861426	-0.454667893425571	0.377066222189672	-0.561729417807483	-0.736397396283607	-0.861908749693291	0.0782133349721825	-0.500994991426738
10	0.0001	-8.57596618652344	0.815504150390625	-4.89122863769531	0.339665858830101	0.823255366268898	-0.454838109940969	0.376996049907215	-0.562211182077536	-0.736065598368336	-0.861685025226484	0.0785441828300636	-0.501327965152544
