// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
1	0.0001	-9.426796875	0.731079711914063	-2.58542358398438	0.139807043227421	0.965912467518255	-0.217869446588554	0.238152064721298	-0.246373078474373	-0.939459365950462	-0.961112680559876	0.0794569776410905	-0.264478740111855
2	0.0001	-9.37650146484375	0.719703369140625	-2.44351867675781	0.141966791195042	0.965638896592287	-0.217685441832508	0.237844665402111	-0.246746765265245	-0.939439167254004	-0.96087217950024	0.0815938430224294	-0.264701906761719
3	0.0001	-9.38967407226563	0.637673950195312	-2.42974731445313	0.14281422928851	0.965588357749819	-0.217355053520125	0.237758700509759	-0.246645169654525	-0.93948760535624	-0.960767868032981	0.0824941432108853	-0.264801472977894
4	0.0001	-9.32740356445313	0.625698852539063	-2.48243774414063	0.143090616072398	0.965514636816342	-0.217500716517048	0.237722548577437	-0.24685791447426	-0.939440876244624	-0.96073568971381	0.082720349097585	-0.264847651217268
5	0.0001	-9.474697265625	0.70892578125	-2.54830078125	0.143387157457299	0.965391812848018	-0.217850340285098	0.238071107350538	-0.247307719512486	-0.939234283719681	-0.960605158700079	0.082810262380642	-0.265292648830014
6	0.0001	-9.34835998535156	0.614322509765625	-2.50399291992188	0.143689309717814	0.9652944133429	-0.218082731645134	0.238130374586519	-0.247620140498171	-0.939136939279331	-0.960545317500482	0.0830118159580407	-0.26544628729603
7	0.0001	-9.42559936523438	0.674197998046875	-2.46567260742188	0.143898953051234	0.96528188409503	-0.217999943919046	0.238183665315138	-0.247600583923315	-0.939128581408254	-0.960500719878859	0.0832155939640052	-0.265543842017495
8	0.0001	-9.36572387695313	0.642463989257813	-2.45309875488281	0.144184664652898	0.965211699147069	-0.218121888650728	0.238098492875453	-0.247788687950287	-0.939100566400805	-0.960478989967698	0.0834694072909609	-0.265542779749566
9	0.0001	-9.36153259277344	0.693956909179688	-2.50758544921875	0.144332885758312	0.965158994300523	-0.218257036105326	0.23827406756352	-0.247975327104173	-0.939006765616901	-0.9604131854652	0.0835245644608918	-0.265763353975308
10	0.0001	-9.41362426757813	0.650247802734375	-2.48243774414063	0.143861314229088	0.965190076862243	-0.218430853578284	0.238164626324106	-0.248008043647074	-0.939025889448342	-0.960511079080392	0.0830669959310496	-0.265552897086084
11	0.0001	-9.38069274902344	0.561033325195313	-2.48004272460938	0.143939088772378	0.965143382284367	-0.218585887824602	0.23840854872588	-0.248200891504873	-0.93891303183554	-0.960438911445073	0.0830335419506972	-0.265824243238506
12	0.0001	-9.436376953125	0.64905029296875	-2.47345642089844	0.144080192624084	0.965074148982247	-0.218798503330346	0.238634846848113	-0.248465301162504	-0.938785600650119	-0.96036155064808	0.0830474628415522	-0.266099250191346
13	0.0001	-9.39985290527344	0.685574340820313	-2.54291198730469	0.144144252494136	0.965037193804091	-0.218919275185244	0.238541617250271	-0.248591984778339	-0.938775757006747	-0.960375099277638	0.0830977718034092	-0.266034638738598
14	0.0001	-9.30584838867188	0.65384033203125	-2.52135681152344	0.144311102039258	0.964971531961275	-0.219098718235696	0.238944399226414	-0.248846388537156	-0.938605907178483	-0.960249904923996	0.083098841245379	-0.266485839543365
15	0.0001	-9.51002380371094	0.66821044921875	-2.50339416503906	0.144476644209759	0.964891653648565	-0.219341277458724	0.238759792263171	-0.249111015318074	-0.938582688763034	-0.960270930975386	0.0832333993450724	-0.26636805431044
16	0.0001	-9.32381103515625	0.695753173828125	-2.51596801757813	0.144561174819627	0.964863210332605	-0.219410692723553	0.238862492171662	-0.24921025474104	-0.938530211962006	-0.960232667934346	0.0832660451718825	-0.266495758227259
17	0.0001	-9.38787780761719	0.669407958984375	-2.49321533203125	0.144535605195728	0.964831723049964	-0.219565946875064	0.238883608216746	-0.249356197852596	-0.938486072522041	-0.960231264100505	0.0831939468286937	-0.266523332290086
18	0.0001	-9.36931640625	0.721499633789063	-2.52375183105469	0.144618647293683	0.964732971754626	-0.219944856871974	0.238524773781316	-0.249716086710455	-0.938481650502869	-0.96030796057698	0.0832596495759164	-0.266226316514687
19	0.0001	-9.33219360351563	0.671204223632813	-2.45549377441406	0.144805429482197	0.96470373969818	-0.219950181188431	0.238636984016333	-0.249781391971684	-0.938435744249054	-0.960251934365177	0.0834023431147762	-0.266383692651972
20	0.0001	-9.44775329589844	0.664019165039063	-2.56985595703125	0.145203429395379	0.964645032041598	-0.219945280125048	0.238892304261662	-0.249906320076592	-0.938337518247208	-0.960128340929677	0.0837065907992942	-0.266733529201682
21	0.0001	-9.38787780761719	0.669407958984375	-2.52794311523437	0.145443559014493	0.964586391262215	-0.220043779582461	0.23898139897936	-0.250074820313347	-0.938269937271314	-0.960069821462515	0.0838789487117219	-0.266889977106579
22	0.0001	-9.31961975097656	0.681383056640625	-2.51237548828125	0.145431308900189	0.964580498574582	-0.220077704825338	0.239301742660126	-0.250132475355961	-0.938172916221805	-0.959991880357019	0.0837747368955006	-0.267202887534332
23	0.0001	-9.39206909179688	0.6945556640625	-2.53572692871094	0.145614211425586	0.964498533828377	-0.220315863418448	0.239194418891147	-0.250404257534614	-0.938127783289603	-0.959990901728882	0.0839064124572714	-0.267165084818954
24	0.0001	-9.35554504394531	0.671802978515625	-2.5626708984375	0.14560154907455	0.964522815077454	-0.220217910493575	0.239331061123142	-0.250317497968181	-0.938116087375449	-0.959958765827347	0.0838861693368722	-0.2672868842746
25	0.0001	-9.42380310058594	0.70174072265625	-2.52075805664062	0.145779223584471	0.964485140288075	-0.220265367533346	0.239170403684172	-0.250397709867745	-0.938135653780699	-0.959971841239449	0.0840797303544679	-0.267179084081934
26	0.0001	-9.34177368164062	0.689765625	-2.52255432128906	0.145840797929661	0.96441628694225	-0.220525933032293	0.239313518945681	-0.25068035664429	-0.938023666248633	-0.959926820809313	0.0840272829098695	-0.267357278594973
27	0.0001	-9.45134582519531	0.718505859375	-2.58482482910156	0.146295261779365	0.964201476265604	-0.221163309678929	0.239148478320462	-0.251408957619229	-0.937870748741968	-0.959898797633331	0.0843151777323827	-0.267367255111845
28	0.0001	-9.42739562988281	0.73048095703125	-2.57284973144531	0.146341285706263	0.964153471143492	-0.221342070514834	0.238915579504381	-0.251574843912862	-0.937885624039683	-0.959949776794559	0.0843693190216366	-0.267167071398968
29	0.0001	-9.33458862304687	0.714314575195312	-2.53632568359375	0.1466859326886	0.964038518149491	-0.221614468560627	0.238777211351904	-0.251920953004766	-0.937827956917567	-0.959931601985414	0.0846496837637561	-0.267143688954863
30	0.0001	-9.34656372070313	0.740659790039063	-2.50758544921875	0.147200438290354	0.963928156514209	-0.221753331533591	0.238753030737363	-0.2521932361343	-0.937760930067911	-0.95985885487443	0.085094539937814	-0.267263723673678
31	0.0001	-9.4220068359375	0.728684692382813	-2.55069580078125	0.147401006709855	0.963880239766639	-0.221828371964291	0.238560914988124	-0.252303507551725	-0.937780160761106	-0.959875842523891	0.0853101603825897	-0.267133942947254
32	0.0001	-9.36153259277344	0.67779052734375	-2.53752319335937	0.147778432797037	0.963667274043173	-0.222501505024693	0.238308569571603	-0.253038161536108	-0.937646369627251	-0.959880492805635	0.0855398956313826	-0.267043752569843
33	0.0001	-9.39266784667969	0.781973876953125	-2.54171447753906	0.148093937568036	0.963500721447283	-0.223012433344333	0.238305859199807	-0.25362048060337	-0.937489716898035	-0.959832539105982	0.0856913740646121	-0.267167522884579
34	0.0001	-9.41841430664063	0.768202514648438	-2.60518249511719	0.148298457300567	0.963429465064563	-0.223184303676767	0.238203552014578	-0.253833960458867	-0.937457939496704	-0.959826356884364	0.0858602723218228	-0.267135505440426
35	0.0001	-9.39206909179688	0.717308349609375	-2.47944396972656	0.148261740806345	0.963383139090981	-0.22340855741954	0.238072366581607	-0.254030500137295	-0.937438026362399	-0.959864576116499	0.0857987897071008	-0.267017908016469
36	0.0001	-9.3357861328125	0.75443115234375	-2.44950622558594	0.148516029421888	0.963340938007186	-0.223421633160694	0.238162311150113	-0.254120129081802	-0.937390886206542	-0.95980294985606	0.0860069599211769	-0.267172416788716
37	0.0001	-9.41422302246094	0.765208740234375	-2.5051904296875	0.148784390548081	0.963281694092117	-0.223498507727136	0.238278466702276	-0.25427807016716	-0.937318534617809	-0.959732555160681	0.0862034851910621	-0.267361892770203
38	0.0001	-9.40224792480469	0.714314575195312	-2.5435107421875	0.148733683070446	0.963240801747055	-0.22370840254669	0.23826158583968	-0.254467046681066	-0.937271539558616	-0.959744605732932	0.086102729359224	-0.267351102042672
