// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
2	9141516	-8.11912E+13	-6.31686E+14	8.99869E+14	7.4383E+13	6.56513E+14	1.25332E+14	-6.60984E+14	7.50361E+14	-7.67668E+14	-9.90843E+14	-7.71325E+14	9.92085E+14
3	9141516	-8.41849E+14	-6.37674E+14	8.9933E+14	7.43593E+14	6.5649E+14	1.26852E+14	-6.61034E+13	7.50312E+14	-8.13174E+14	-1.00517E+14	-7.78067E+14	9.91888E+14
4	9141516	-8.07122E+13	-6.43063E+14	9.00348E+14	7.4347E+14	6.5656E+14	1.27208E+14	-6.6109E+14	7.50258E+14	-8.56075E+14	-1.01059E+14	-7.7731E+14	9.91839E+14
5	9141516	-8.31072E+13	-6.38871E+14	9.02803E+14	7.43309E+14	6.56717E+14	1.27338E+12	-6.61204E+14	7.50151E+14	-9.09352E+14	-1.01494E+13	-7.74369E+14	9.91818E+14
6	9141516	-8.25683E+14	-6.36476E+14	9.03042E+14	7.43348E+14	6.5671E+14	1.27148E+14	-6.61146E+14	7.50198E+14	-9.44257E+14	-1.01587E+14	-7.70442E+14	9.91839E+14
7	9141516	-7.95146E+11	-6.28094E+14	8.99569E+12	7.43528E+14	6.56558E+14	1.26875E+14	-6.60951E+14	7.50367E+14	-9.64189E+14	-1.01534E+14	-7.66895E+14	9.91872E+14
8	9141516	-8.41251E+14	-6.55637E+14	8.99569E+12	7.43383E+14	6.56679E+14	1.27101E+14	-6.61043E+14	7.5028E+14	-1.01017E+14	-1.01995E+14	-7.65096E+14	9.91838E+14
9	9141516	-8.19695E+14	-6.52643E+14	9.02204E+14	7.43654E+14	6.56461E+14	1.26638E+14	-6.60777E+14	7.50513E+14	-1.02126E+14	-1.01747E+14	-7.60846E+13	9.91896E+14
10	9141516	-8.16702E+13	-6.33483E+14	9.00887E+14	7.43677E+14	6.56441E+14	1.26603E+13	-6.60721E+14	7.50558E+13	-1.05348E+12	-1.01939E+14	-7.5815E+14	9.91897E+14
11	9141516	-8.26282E+13	-6.62223E+14	9.00887E+14	7.43764E+14	6.56303E+14	1.26814E+13	-6.60575E+14	7.50683E+14	-1.07516E+14	-1.02254E+14	-7.57738E+14	9.91868E+14
12	9141516	-8.30473E+14	-6.42464E+14	9.00288E+14	7.43905E+14	6.56258E+12	1.26217E+13	-6.60456E+13	7.50784E+14	-1.10245E+14	-1.01997E+14	-7.51595E+14	9.91941E+14
13	9141516	-8.11313E+14	-6.4905E+13	9.02623E+14	7.43879E+13	6.56338E+14	1.25957E+13	-6.60483E+14	7.50755E+14	-1.1345E+14	-1.02009E+14	-7.47531E+14	9.91971E+13
14	9141516	-8.17899E+14	-6.47254E+14	9.01785E+14	7.43853E+14	6.56384E+14	1.25868E+13	-6.60489E+14	7.50745E+14	-1.16833E+14	-1.02163E+14	-7.44436E+14	9.91978E+14
15	9141516	-8.53226E+14	-6.47853E+14	9.02862E+14	7.43825E+14	6.56436E+14	1.25761E+14	-6.60494E+14	7.50734E+14	-1.20584E+14	-1.02329E+14	-7.40951E+14	9.91987E+14
16	9141516	-8.16103E+14	-6.35878E+14	8.99988E+14	7.43869E+14	6.56415E+14	1.25612E+14	-6.60432E+14	7.50784E+14	-1.23448E+14	-1.02411E+14	-7.37754E+14	9.92003E+14
17	9141516	-8.47837E+12	-6.46655E+12	8.98851E+14	7.43985E+14	6.56309E+14	1.25477E+14	-6.60291E+12	7.50905E+14	-1.25835E+13	-1.0248E+13	-7.34891E+14	9.92017E+14
18	9141516	-8.16103E+14	-6.46057E+14	9.01845E+14	7.44042E+14	6.56309E+14	1.25143E+14	-6.60238E+14	7.50947E+14	-1.28543E+14	-1.02412E+14	-7.30597E+14	9.92056E+14
19	9141516	1.97589E+14	-1.94835E+14	8.69093E+14	7.52666E+14	6.45774E+14	1.28338E+12	-6.5114E+14	7.58958E+14	-1.91631E+14	-9.75267E+13	-8.34215E+14	9.91731E+13
20	9141516	-1.1059E+14	-2.25012E+14	8.6083E+14	7.52061E+14	6.46679E+14	1.27321E+14	-6.5195E+14	7.58262E+14	-3.63312E+13	-9.67775E+14	-8.27336E+14	9.91862E+13
21	9141516	-1.36037E+11	-3.05964E+14	9.68965E+14	7.54618E+14	6.4156E+14	1.37668E+14	-6.48417E+14	7.61257E+14	6.64655E+14	-1.00537E+14	-9.42822E+13	9.90456E+13
22	9141516	-3.61109E+14	-4.45474E+12	1.13949E+14	7.59616E+13	6.3278E+12	1.50243E+13	-6.39572E+13	7.68721E+14	-4.00754E+14	-1.18031E+14	-9.3047E+13	9.88641E+13
23	9141516	-2.01301E+14	-1.47773E+14	8.76098E+13	7.57543E+14	6.32914E+14	1.5984E+14	-6.41578E+14	7.6705E+14	3.41659E+14	-1.20443E+14	-1.05138E+14	9.87137E+13
24	9141516	-2.98E+14	-3.44823E+14	8.99629E+14	7.55059E+12	6.30272E+14	1.80672E+14	-6.43171E+14	7.65525E+14	1.73923E+14	-1.27347E+14	-1.29335E+14	9.8339E+14
25	9141516	-1.71723E+14	-5.10498E+14	1.02046E+14	7.58571E+14	6.19097E+14	2.03198E+14	-6.38598E+14	7.68336E+14	4.30492E+14	-1.29472E+14	-1.62417E+14	9.78191E+14
26	9141516	8.84361E+14	-3.93142E+14	1.14883E+14	7.61429E+14	6.07316E+14	2.26698E+14	-6.35646E+14	7.68103E+14	7.72753E+14	-1.27197E+14	-2.0294E+14	9.70895E+14
27	9141516	-3.00395E+14	-6.04084E+14	6.94316E+14	7.6414E+14	5.92843E+14	2.54218E+14	-6.32344E+13	7.66298E+14	1.13705E+14	-1.27398E+14	-2.47639E+14	9.6044E+14
28	9141516	-6.2031E+13	-8.24426E+14	8.41071E+14	7.70932E+14	5.69354E+14	2.85481E+14	-6.22312E+14	7.68787E+14	1.47288E+14	-1.35615E+14	-2.91207E+14	9.46999E+13
29	9141516	-2.17827E+14	-5.47861E+14	2.79918E+14	7.78188E+14	5.47745E+14	3.07244E+14	-6.13412E+14	7.67848E+14	1.84755E+14	-1.34718E+14	-3.32242E+14	9.33524E+14
30	9141516	-1.69088E+13	-5.7223E+14	2.15193E+14	7.79488E+14	5.37291E+14	3.22052E+14	-6.14097E+14	7.56898E+14	2.23586E+14	-1.2363E+14	-3.72053E+14	9.19941E+14
31	9141516	-3.20214E+14	-8.29335E+14	1.61005E+14	7.82099E+14	5.27188E+14	3.32255E+14	-6.11058E+14	7.53356E+14	2.4303E+14	-1.22184E+14	-3.93101E+14	9.11341E+14
32	9141516	-3.99789E+14	-8.26701E+14	-8.46639E+14	7.80734E+13	5.32334E+13	3.27223E+14	-6.15989E+14	7.43618E+14	2.59978E+14	-1.04934E+13	-4.0454E+14	9.0848E+13
33	9141516	-3.32249E+14	-8.62686E+13	-7.30481E+13	7.72748E+14	5.64552E+14	2.90072E+14	-6.31681E+14	7.2866E+14	2.64639E+14	-6.19611E+14	-3.87732E+14	9.19687E+14
34	9141516	-2.36628E+12	-7.70717E+13	-1.11249E+14	7.64118E+14	5.91587E+14	2.57192E+14	-6.44754E+13	7.12999E+14	2.75543E+14	-2.03699E+13	-3.76373E+14	9.26244E+14
35	9141516	5.50256E+14	-7.48923E+14	9.61002E+14	7.57716E+14	6.11287E+14	2.28459E+14	-6.52478E+14	7.03337E+13	2.82117E+14	1.17704E+14	-3.62829E+14	9.31781E+14
36	9141516	-2.05373E+14	-73575	1.80644E+14	7.51384E+14	6.26912E+14	2.05919E+14	-6.59383E+14	7.01417E+14	2.70608E+14	2.52126E+14	-3.3911E+14	9.40409E+14
37	9141516	3.68833E+12	-7.68382E+14	5.50854E+12	7.34761E+14	6.50022E+14	1.93904E+14	-6.78052E+14	6.95688E+14	2.37198E+14	1.92876E+14	-3.05761E+14	9.51913E+14
38	9141516	3.28896E+14	-2.24294E+14	5.97018E+14	7.21152E+14	6.70968E+14	1.72458E+14	-6.92599E+14	6.92633E+14	2.01412E+13	1.56903E+14	-2.64693E+14	9.64205E+14
39	9141516	3.28297E+14	-3.18418E+14	9.02623E+14	7.07493E+13	6.88422E+14	1.59778E+14	-7.06713E+14	6.88098E+14	1.64554E+14	3.33992E+14	-2.29338E+14	9.73341E+14
40	9141516	3.12251E+14	1.2484E+14	8.3682E+13	6.84114E+14	7.13526E+14	1.51223E+14	-7.29156E+14	6.74127E+14	1.17831E+13	-1.78682E+14	-1.90875E+14	9.81452E+14
41	9141516	-6.09532E+14	3.65839E+14	1.06435E+13	6.57742E+14	7.39504E+14	1.43208E+14	-7.51932E+14	6.55834E+14	6.69325E+14	-4.44239E+13	-1.51707E+14	9.87427E+13
42	9141516	2.11001E+14	4.32481E+14	9.2819E+14	6.37027E+13	7.57898E+14	1.40668E+14	-7.6765E+14	6.40326E+14	2.63871E+14	-7.00748E+14	-1.24793E+14	9.89705E+14
43	9141516	-9.63397E+14	4.2775E+13	7.84249E+14	6.1166E+14	7.78626E+14	1.40052E+14	-7.84425E+14	6.19888E+14	-2.0415E+14	-1.02712E+14	-9.73736E+14	9.89934E+14
44	9141516	-2.7417E+14	2.48783E+14	1.14117E+14	5.87067E+14	7.94416E+14	1.5574E+14	-7.96639E+14	6.01128E+14	-6.3344E+14	-1.43941E+14	-8.68812E+14	9.85765E+14
45	9141516	-4.69903E+13	4.97206E+12	7.81555E+14	5.69145E+14	8.03521E+14	1.74435E+14	-8.00587E+14	5.89907E+14	-1.05213E+14	-1.87442E+14	-7.97686E+14	9.79031E+14
46	9141516	-5.49717E+14	4.45833E+14	6.74378E+14	5.45615E+14	8.1532E+14	1.93798E+13	-8.05851E+14	5.73911E+14	-1.45704E+14	-2.30018E+14	-7.6674E+14	9.70161E+14
