aX,aY,aZ,gX,gY,gZ
-2.433,-0.675,-9.012,-0.816,-0.816,-0.816
-2.461,-0.618,-9.223,0.602,0.602,0.602

-6.259,-6.737,-37.293,-34.388,-34.388,-34.388
-9.160,-7.360,-39.261,-29.648,-29.648,-29.648
-12.680,-7.365,-31.795,-13.678,-13.678,-13.678
-12.680,-7.365,-31.795,-13.678,-13.678,-13.678
-15.730,-3.946,-15.371,-7.577,-7.577,-7.577
-15.730,-3.946,-15.371,-7.577,-7.577,-7.577
-15.261,-2.490,-5.219,-3.827,-3.827,-3.827
-14.318,-1.748,0.034,9.850,9.850,9.850
-12.800,0.718,1.944,15.892,15.892,15.892
-10.458,3.017,3.452,14.979,14.979,14.979
-7.580,4.281,3.730,16.028,16.028,16.028
-5.191,5.009,4.492,23.625,23.625,23.625
-2.849,5.875,5.507,34.680,34.680,34.680
-1.264,6.397,6.010,38.993,38.993,38.993
-1.264,6.397,6.010,38.993,38.993,38.993
0.445,6.857,6.488,36.817,36.817,36.817
3.352,10.429,4.051,20.672,20.672,20.672
7.537,13.628,4.329,17.097,17.097,17.097
6.546,13.125,5.033,2.778,2.778,2.778
7.264,11.689,3.194,-5.576,-5.576,-5.576
7.264,11.689,3.194,-5.576,-5.576,-5.576
6.919,8.203,1.010,-6.528,-6.528,-6.528
6.704,6.871,1.820,-12.803,-12.803,-12.803
6.378,6.206,2.322,-16.067,-16.067,-16.067
5.612,5.986,3.831,-16.806,-16.806,-16.806
4.578,6.062,5.152,-18.923,-18.923,-18.923
4.578,6.062,5.152,-18.923,-18.923,-18.923
2.648,7.149,7.384,-21.876,-21.876,-21.876
2.820,7.556,7.791,-21.138,-21.138,-21.138
3.208,7.666,5.933,-19.040,-19.040,-19.040
3.515,7.006,1.939,-15.174,-15.174,-15.174
3.256,5.674,-2.763,-12.920,-12.920,-12.920
3.256,5.674,-2.763,-12.920,-12.920,-12.920
4.659,2.840,-2.682,-2.895,-2.895,-2.895
6.024,1.729,-1.777,-4.799,-4.799,-4.799
6.105,1.288,-3.879,-13.872,-13.872,-13.872
4.927,-0.426,-10.606,-12.667,-12.667,-12.667
6.297,-0.546,-11.205,2.739,2.739,2.739
6.867,-0.670,-8.763,9.112,9.112,9.112
6.603,-0.661,-8.035,-2.059,-2.059,-2.059
6.096,-0.747,-8.911,-2.817,-2.817,-2.817
5.488,-0.852,-8.825,5.421,5.421,5.421
5.105,-1.772,-8.902,7.732,7.732,7.732
4.793,-1.532,-10.334,4.546,4.546,4.546
5.354,-1.188,-9.692,2.875,2.875,2.875
4.702,-1.413,-10.477,4.469,4.469,4.469
3.965,-2.705,-11.760,5.887,5.887,5.887
4.051,-3.002,-11.124,7.849,7.849,7.849
4.051,-3.002,-11.124,7.849,7.849,7.849
3.994,-1.523,-6.680,3.905,3.905,3.905
3.668,-0.910,-7.010,3.109,3.109,3.109
2.136,-1.599,-10.310,-0.253,-0.253,-0.253
2.136,-1.599,-10.310,-0.253,-0.253,-0.253
1.882,-1.858,-12.354,8.587,8.587,8.587
1.848,-1.480,-9.457,7.325,7.325,7.325
1.604,-1.326,-8.988,2.351,2.351,2.351
1.298,-0.967,-9.012,2.953,2.953,2.953
0.211,-1.954,-11.114,4.061,4.061,4.061
0.211,-1.954,-11.114,4.061,4.061,4.061
-0.110,-2.284,-12.431,4.663,4.663,4.663
-0.062,-1.030,-9.304,1.496,1.496,1.496
-0.043,-0.929,-9.658,0.233,0.233,0.233
-0.464,-1.317,-11.550,0.427,0.427,0.427
-0.699,-1.599,-13.125,1.729,1.729,1.729
-0.441,-0.934,-12.067,0.758,0.758,0.758
-0.378,-0.393,-10.472,0.233,0.233,0.233
-0.460,-0.646,-9.395,0.933,0.933,0.933
-0.627,-0.857,-9.012,1.185,1.185,1.185
-1.020,-1.025,-9.338,0.291,0.291,0.291
-1.437,-1.312,-10.180,0.719,0.719,0.719
-1.642,-1.259,-9.836,1.107,1.107,1.107
-1.753,-1.293,-9.788,-0.797,-0.797,-0.797
-1.824,-1.341,-10.156,-2.098,-2.098,-2.098
-1.920,-1.547,-10.832,-1.593,-1.593,-1.593
-2.097,-1.437,-11.411,0.078,0.078,0.078
-2.097,-1.657,-11.215,1.049,1.049,1.049
-2.026,-1.403,-10.587,-0.894,-0.894,-0.894
-1.935,-0.953,-10.257,-2.331,-2.331,-2.331
-1.954,-0.713,-10.147,-2.234,-2.234,-2.234
-2.016,-0.551,-10.113,-2.137,-2.137,-2.137
-2.260,-0.761,-9.582,-1.865,-1.865,-1.865
-2.524,-0.934,-9.175,-1.593,-1.593,-1.593
-2.629,-1.144,-9.304,-0.680,-0.680,-0.680
-2.792,-1.250,-9.429,1.807,1.807,1.807
-3.026,-1.006,-10.137,2.293,2.293,2.293
-2.911,-0.977,-10.276,-0.933,-0.933,-0.933
-2.734,-0.886,-9.816,-1.341,-1.341,-1.341
-2.701,-0.891,-9.309,0.525,0.525,0.525
-2.677,-0.986,-9.060,0.874,0.874,0.874
-2.725,-0.919,-9.050,-0.175,-0.175,-0.175
-2.667,-0.824,-9.840,-1.846,-1.846,-1.846
-2.710,-0.833,-9.716,-1.710,-1.710,-1.710
-2.710,-0.833,-9.716,-1.710,-1.710,-1.710
-2.931,-1.101,-8.959,1.593,1.593,1.593
-2.959,-1.159,-9.213,-0.039,-0.039,-0.039
-2.959,-1.159,-9.213,-0.039,-0.039,-0.039
-2.945,-0.699,-9.227,-2.351,-2.351,-2.351
-2.945,-0.699,-9.227,-2.351,-2.351,-2.351
-2.959,-0.670,-9.491,0.583,0.583,0.583
-2.916,-0.666,-9.227,0.525,0.525,0.525
-2.887,-0.733,-9.294,-0.350,-0.350,-0.350
-2.911,-0.632,-9.515,-2.040,-2.040,-2.040
-2.777,-0.656,-9.563,-1.321,-1.321,-1.321
-2.734,-0.800,-9.012,0.544,0.544,0.544
-2.734,-0.800,-9.012,0.544,0.544,0.544
-2.854,-0.809,-9.199,1.166,1.166,1.166
-2.792,-0.996,-9.112,0.427,0.427,0.427
-2.782,-0.910,-9.227,-0.155,-0.155,-0.155
-2.763,-0.967,-9.160,0.758,0.758,0.758
-2.931,-1.025,-9.189,0.894,0.894,0.894
-2.840,-0.814,-9.290,-0.427,-0.427,-0.427
-2.801,-0.632,-9.108,0.447,0.447,0.447
-2.682,-0.618,-9.055,-0.097,-0.097,-0.097
-2.619,-0.728,-9.055,-0.427,-0.427,-0.427
-2.662,-0.685,-9.376,1.593,1.593,1.593
-2.653,-0.594,-9.098,1.632,1.632,1.632
-2.701,-0.709,-9.199,0.952,0.952,0.952
-2.619,-0.718,-9.141,1.088,1.088,1.088
-2.586,-0.881,-8.974,1.515,1.515,1.515

-1.192,-0.776,-30.225,5.770,5.770,5.770
-1.192,-0.776,-30.225,5.770,5.770,5.770
-5.847,-2.346,-30.230,7.072,7.072,7.072
-7.762,-3.917,-28.616,0.991,0.991,0.991
-9.141,-3.682,-24.330,-0.952,-0.952,-0.952
-10.305,-3.634,-18.958,-9.811,-9.811,-9.811
-11.181,-3.567,-13.863,-20.672,-20.672,-20.672
-11.895,-3.113,-7.384,-29.045,-29.045,-29.045
-12.244,-2.198,-3.208,-30.114,-30.114,-30.114
-11.895,-2.318,0.374,-25.995,-25.995,-25.995
-11.895,-2.318,0.374,-25.995,-25.995,-25.995
-8.049,-3.606,2.993,-20.691,-20.691,-20.691
-8.049,-3.606,2.993,-20.691,-20.691,-20.691
-7.618,-3.936,3.180,-19.020,-19.020,-19.020
-8.595,-2.136,9.898,0.544,0.544,0.544
-7.796,0.029,15.917,-4.585,-4.585,-4.585
-2.519,2.911,21.993,-12.434,-12.434,-12.434
3.625,5.449,23.339,-11.696,-11.696,-11.696
5.100,2.035,20.322,-13.988,-13.988,-13.988
6.287,-0.498,9.826,-25.393,-25.393,-25.393
7.609,-0.718,3.304,-14.183,-14.183,-14.183
8.500,-0.857,3.630,2.545,2.545,2.545
9.199,-0.613,6.436,9.578,9.578,9.578
9.199,-0.613,6.436,9.578,9.578,9.578
4.961,-0.934,11.081,2.895,2.895,2.895
3.883,-0.421,11.583,-2.778,-2.778,-2.778
3.318,0.364,10.204,-1.729,-1.729,-1.729
3.840,0.488,8.069,2.798,2.798,2.798
3.821,0.139,5.411,4.643,4.643,4.643
3.223,-0.627,3.213,5.634,5.634,5.634
3.223,-0.627,3.213,5.634,5.634,5.634
4.563,-1.657,0.034,1.982,1.982,1.982
4.516,-2.988,-2.615,2.953,2.953,2.953
3.788,-4.506,-7.326,9.267,9.267,9.267
5.085,-4.468,-8.614,16.572,16.572,16.572
6.330,-3.697,-6.809,12.628,12.628,12.628
