aX,aY,aZ,gX,gY,gZ
0.733,-0.709,-9.529,1.418,1.418,1.418

17.018,3.831,-11.262,22.615,22.615,22.615
23.780,3.089,-10.616,27.588,27.588,27.588
25.647,-1.523,-9.290,26.345,26.345,26.345
22.252,-6.187,-9.768,12.862,12.862,12.862
22.252,-6.187,-9.768,12.862,12.862,12.862
17.837,-5.957,-11.210,-16.670,-16.670,-16.670
15.390,-2.844,-6.067,-38.643,-38.643,-38.643
16.013,1.379,-1.063,-26.345,-26.345,-26.345
16.013,1.379,-1.063,-26.345,-26.345,-26.345
3.328,-1.939,-1.350,-11.191,-11.191,-11.191
3.328,-1.939,-1.350,-11.191,-11.191,-11.191
-16.401,-1.312,-8.346,-19.972,-19.972,-19.972
-20.543,-3.539,-6.273,6.489,6.489,6.489
-20.543,-3.539,-6.273,6.489,6.489,6.489
-23.837,-5.923,-8.959,-8.859,-8.859,-8.859
-22.932,-3.840,-17.248,-45.618,-45.618,-45.618
-22.932,-3.840,-17.248,-45.618,-45.618,-45.618
-9.481,1.202,-27.141,0.505,0.505,0.505
-5.397,-2.615,-16.970,46.356,46.356,46.356
-1.872,-2.591,-3.826,54.322,54.322,54.322
0.397,1.379,0.120,10.802,10.802,10.802
0.397,1.379,0.120,10.802,10.802,10.802
-1.302,1.173,-9.136,-19.914,-19.914,-19.914
-2.121,0.891,-12.096,-11.463,-11.463,-11.463
-0.393,2.322,-10.300,-7.791,-7.791,-7.791
0.330,2.265,-9.117,-6.275,-6.275,-6.275
0.057,0.977,-8.557,-3.089,-3.089,-3.089
-0.182,-0.388,-8.322,0.952,0.952,0.952
-0.670,-0.733,-9.745,-3.439,-3.439,-3.439
-0.670,-0.733,-9.745,-3.439,-3.439,-3.439
-0.225,1.796,-9.970,-7.286,-7.286,-7.286
-0.287,1.868,-9.294,-1.690,-1.690,-1.690
-0.287,1.868,-9.294,-1.690,-1.690,-1.690
-0.656,0.584,-9.572,0.369,0.369,0.369
-0.661,0.675,-9.768,0.913,0.913,0.913
-0.565,0.967,-9.831,2.254,2.254,2.254
-0.565,0.967,-9.831,2.254,2.254,2.254
-0.072,0.795,-8.931,2.662,2.662,2.662
-0.354,0.469,-9.213,0.311,0.311,0.311
-0.421,0.532,-9.812,-2.487,-2.487,-2.487
-0.374,0.833,-10.434,-2.098,-2.098,-2.098
0.024,1.317,-9.745,-1.477,-1.477,-1.477
0.182,1.547,-9.242,-0.291,-0.291,-0.291
0.182,1.547,-9.242,-0.291,-0.291,-0.291
-0.335,0.895,-10.875,1.496,1.496,1.496
-0.239,0.105,-10.180,4.294,4.294,4.294
0.000,0.125,-9.831,1.982,1.982,1.982
0.000,0.125,-9.831,1.982,1.982,1.982
0.177,0.948,-9.601,-0.291,-0.291,-0.291
-0.125,0.867,-10.602,-0.699,-0.699,-0.699
-0.134,0.560,-10.156,2.098,2.098,2.098
-0.139,0.239,-9.802,2.487,2.487,2.487
